# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pickedRoofInsuThickness,extWinU,extWinSHGC,intMass,infilRate
1.676787989580000016e+01,1.881279647000000068e+02,7.924777792999999804e+01,5.710000000000000142e+01,-5.386574074000000323e+00,6.218284259170000183e+01,1.000000000000000000e+00,5.642721929999999775e-02,2.475955868999999865e+00,2.594349390999999838e-01,4.368667481000000130e+00,2.917033059999999955e-01
1.805105765780000127e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.718333332999999641e+01,2.538425925999999944e+00,3.514891597670000323e+01,1.000000000000000000e+00,2.144949056000000076e-01,2.453482072399999936e+00,2.525884972999999922e-01,4.887773710140000105e+01,1.222635880000000064e-01
2.419055045709999874e+01,1.814300792999999885e+02,7.211147838000000547e+02,3.688333332999999925e+01,1.186944444999999959e+01,2.269889307249999888e+01,1.000000000000000000e+00,1.138491326999999942e-01,2.343825866800000046e+00,4.923114967000000175e-01,4.962317070819999998e+01,1.780240067999999953e-01
1.755998935299999886e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.979166666999999791e+01,7.708333330000000094e-01,4.834607768499999736e+01,1.000000000000000000e+00,7.268789159999999860e-02,2.639572286800000001e+00,5.061259886000000208e-01,1.834444343590000059e+01,1.512851977999999931e-01
2.015194040289999933e+01,1.764380457000000035e+02,2.154398084000000040e+02,6.563333332999999925e+01,1.751851851999999932e+00,3.596621828669999843e+01,1.000000000000000000e+00,2.610790538000000161e-01,1.799384425299999979e+00,6.243004199999999670e-01,2.116640267989999913e+01,4.762360099999999874e-01
1.631091560919999850e+01,3.013311451000000147e+02,1.109660370999999941e+02,5.916666666999999791e+01,-2.684259259000000064e+00,3.762108365670000154e+01,1.000000000000000000e+00,7.268789159999999860e-02,2.639572286800000001e+00,5.061259886000000208e-01,1.834444343590000059e+01,1.512851977999999931e-01
1.833939196869999932e+01,2.207708241999999998e+01,3.865683478999999867e+00,8.470833333000000209e+01,-1.300925925999999899e+00,6.273618916579999905e+01,1.000000000000000000e+00,1.120804012999999932e-01,1.724350725200000101e+00,4.516418835000000076e-01,2.555476613780000150e+01,1.379663664999999928e-01
2.254278122930000094e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.925833332999999925e+01,1.079722222000000009e+01,3.309043685329999818e+01,1.000000000000000000e+00,2.156563420000000009e-01,1.904160241600000081e+00,3.874120443999999885e-01,4.558553164189999762e+01,1.698171484000000064e-01
1.494107169699999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.665833332999999783e+01,-4.273611111000000129e+00,3.214729890830000159e+01,1.000000000000000000e+00,1.312438516999999971e-01,2.281425831299999984e+00,3.317061410000000099e-01,4.305585406640000201e+01,3.984826381000000084e-01
2.004655808669999928e+01,9.815626776999999947e+01,7.770804033000000111e+00,9.475000000000000000e+01,4.230555555999999662e+00,3.827888722080000150e+01,1.000000000000000000e+00,5.642721929999999775e-02,2.475955868999999865e+00,2.594349390999999838e-01,4.368667481000000130e+00,2.917033059999999955e-01
