,f,c
2017-01-02T00:35:00Z,32.34,0.188888889
2017-01-02T00:40:00Z,32.43,0.238888889
2017-01-02T00:45:00Z,32.36,0.2
2017-01-02T00:50:00Z,32.43,0.238888889
2017-01-02T00:55:00Z,32.31,0.172222222
2017-01-02T01:00:00Z,32.34,0.188888889
2017-01-02T01:05:00Z,32.22,0.122222222
2017-01-02T01:10:00Z,32.2,0.111111111
2017-01-02T01:15:00Z,32.22,0.122222222
2017-01-02T01:20:00Z,32.31,0.172222222
2017-01-02T01:25:00Z,32.25,0.138888889
2017-01-02T01:30:00Z,32.16,0.088888889
2017-01-02T01:35:00Z,32.14,0.077777778
2017-01-02T01:40:00Z,32.09,0.05
2017-01-02T01:45:00Z,31.93,-0.038888889
2017-01-02T01:50:00Z,32.02,0.011111111
2017-01-02T01:55:00Z,32.05,0.027777778
2017-01-02T02:00:00Z,31.86,-0.077777778
2017-01-02T02:05:00Z,31.69,-0.172222222
2017-01-02T02:10:00Z,31.71,-0.161111111
2017-01-02T02:15:00Z,31.8,-0.111111111
2017-01-02T02:20:00Z,31.71,-0.161111111
2017-01-02T02:25:00Z,31.53,-0.261111111
2017-01-02T02:30:00Z,31.32,-0.377777778
2017-01-02T02:35:00Z,31.57,-0.238888889
2017-01-02T02:40:00Z,31.37,-0.35
2017-01-02T02:45:00Z,31.26,-0.411111111
2017-01-02T02:50:00Z,31.37,-0.35
2017-01-02T02:55:00Z,31.33,-0.372222222
2017-01-02T03:00:00Z,31.3,-0.388888889
2017-01-02T03:05:00Z,31.24,-0.422222222
2017-01-02T03:10:00Z,31.19,-0.45
2017-01-02T03:15:00Z,31.19,-0.45
2017-01-02T03:20:00Z,31.21,-0.438888889
2017-01-02T03:25:00Z,31.19,-0.45
2017-01-02T03:30:00Z,31.01,-0.55
2017-01-02T03:35:00Z,30.96,-0.577777778
2017-01-02T03:40:00Z,30.83,-0.65
2017-01-02T03:45:00Z,31.12,-0.488888889
2017-01-02T03:50:00Z,30.88,-0.622222222
2017-01-02T03:55:00Z,30.69,-0.727777778
2017-01-02T04:00:00Z,30.87,-0.627777778
2017-01-02T04:05:00Z,30.74,-0.7
2017-01-02T04:10:00Z,30.63,-0.761111111
2017-01-02T04:15:00Z,30.54,-0.811111111
2017-01-02T04:20:00Z,30.67,-0.738888889
2017-01-02T04:25:00Z,30.67,-0.738888889
2017-01-02T04:30:00Z,30.58,-0.788888889
2017-01-02T04:35:00Z,30.58,-0.788888889
2017-01-02T04:40:00Z,30.69,-0.727777778
2017-01-02T04:45:00Z,30.79,-0.672222222
2017-01-02T04:50:00Z,30.65,-0.75
2017-01-02T04:55:00Z,30.61,-0.772222222
2017-01-02T05:00:00Z,30.56,-0.8
2017-01-02T05:05:00Z,30.51,-0.827777778
2017-01-02T05:10:00Z,30.45,-0.861111111
2017-01-02T05:15:00Z,30.45,-0.861111111
2017-01-02T05:20:00Z,30.79,-0.672222222
2017-01-02T05:25:00Z,30.79,-0.672222222
2017-01-02T05:30:00Z,31.03,-0.538888889
2017-01-02T05:35:00Z,30.65,-0.75
2017-01-02T05:40:00Z,30.56,-0.8
2017-01-02T05:45:00Z,30.99,-0.561111111
2017-01-02T05:50:00Z,30.79,-0.672222222
2017-01-02T05:55:00Z,31.01,-0.55
2017-01-02T06:00:00Z,30.99,-0.561111111
2017-01-02T06:05:00Z,30.96,-0.577777778
2017-01-02T06:10:00Z,30.85,-0.638888889
2017-01-02T06:15:00Z,30.97,-0.572222222
2017-01-02T06:20:00Z,30.92,-0.6
2017-01-02T06:25:00Z,31.01,-0.55
2017-01-02T06:30:00Z,31.3,-0.388888889
2017-01-02T06:35:00Z,31.21,-0.438888889
2017-01-02T06:40:00Z,31.3,-0.388888889
2017-01-02T06:45:00Z,31.55,-0.25
2017-01-02T06:50:00Z,31.71,-0.161111111
2017-01-02T06:55:00Z,32.02,0.011111111
2017-01-02T07:00:00Z,32.18,0.1
2017-01-02T07:05:00Z,32.4,0.222222222
2017-01-02T07:10:00Z,32.61,0.338888889
2017-01-02T07:15:00Z,32.58,0.322222222
2017-01-02T07:20:00Z,32.9,0.5
2017-01-02T07:25:00Z,33.04,0.577777778
2017-01-02T07:30:00Z,32.9,0.5
2017-01-02T07:35:00Z,32.94,0.522222222
2017-01-02T07:40:00Z,32.94,0.522222222
2017-01-02T07:45:00Z,33.17,0.65
2017-01-02T07:50:00Z,33.39,0.772222222
2017-01-02T07:55:00Z,33.71,0.95
2017-01-02T08:00:00Z,34,1.111111111
2017-01-02T08:05:00Z,34.07,1.15
2017-01-02T08:10:00Z,34,1.111111111
2017-01-02T08:15:00Z,33.96,1.088888889
2017-01-02T08:20:00Z,34.11,1.172222222
2017-01-02T08:25:00Z,34.3,1.277777778
2017-01-02T08:30:00Z,34.66,1.477777778
2017-01-02T08:35:00Z,34.99,1.661111111
2017-01-02T08:40:00Z,35.08,1.711111111
2017-01-02T08:45:00Z,35.26,1.811111111
2017-01-02T08:50:00Z,35.37,1.872222222
2017-01-02T08:55:00Z,35.6,2
2017-01-02T09:00:00Z,36.05,2.25
2017-01-02T09:05:00Z,36.03,2.238888889
2017-01-02T09:10:00Z,36.32,2.4
2017-01-02T09:15:00Z,36.46,2.477777778
2017-01-02T09:20:00Z,36.57,2.538888889
2017-01-02T09:25:00Z,36.7,2.611111111
2017-01-02T09:30:00Z,37.04,2.8
2017-01-02T09:35:00Z,37.29,2.938888889
2017-01-02T09:40:00Z,37.85,3.25
2017-01-02T09:45:00Z,38.34,3.522222222
2017-01-02T09:50:00Z,38.48,3.6
2017-01-02T09:55:00Z,39.16,3.977777778
2017-01-02T10:00:00Z,40.01,4.45
2017-01-02T10:05:00Z,40.23,4.572222222
2017-01-02T10:10:00Z,40.44,4.688888889
2017-01-02T10:15:00Z,40.68,4.822222222
2017-01-02T10:20:00Z,40.62,4.788888889
2017-01-02T10:25:00Z,40.66,4.811111111
2017-01-02T10:30:00Z,40.62,4.788888889
2017-01-02T10:35:00Z,40.69,4.827777778
2017-01-02T10:40:00Z,40.78,4.877777778
2017-01-02T10:45:00Z,40.93,4.961111111
2017-01-02T10:50:00Z,41.02,5.011111111
2017-01-02T10:55:00Z,41.11,5.061111111
2017-01-02T11:00:00Z,41.18,5.1
2017-01-02T11:05:00Z,41.29,5.161111111
2017-01-02T11:10:00Z,41.41,5.227777778
2017-01-02T11:15:00Z,41.49,5.272222222
2017-01-02T11:20:00Z,41.63,5.35
2017-01-02T11:25:00Z,41.7,5.388888889
2017-01-02T11:30:00Z,41.9,5.5
2017-01-02T11:35:00Z,41.74,5.411111111
2017-01-02T11:40:00Z,41.94,5.522222222
2017-01-02T11:45:00Z,41.94,5.522222222
2017-01-02T11:50:00Z,41.97,5.538888889
2017-01-02T11:55:00Z,41.94,5.522222222
2017-01-02T12:00:00Z,41.85,5.472222222
2017-01-02T12:05:00Z,41.92,5.511111111
2017-01-02T12:10:00Z,41.9,5.5
2017-01-02T12:15:00Z,41.92,5.511111111
2017-01-02T12:20:00Z,41.99,5.55
2017-01-02T12:25:00Z,41.99,5.55
2017-01-02T12:30:00Z,42.12,5.622222222
2017-01-02T12:35:00Z,42.19,5.661111111
2017-01-02T12:40:00Z,42.12,5.622222222
2017-01-02T12:45:00Z,42.3,5.722222222
2017-01-02T12:50:00Z,42.26,5.7
2017-01-02T12:55:00Z,42.35,5.75
2017-01-02T13:00:00Z,42.49,5.827777778
2017-01-02T13:05:00Z,42.28,5.711111111
2017-01-02T13:10:00Z,42.37,5.761111111
2017-01-02T13:15:00Z,42.37,5.761111111
2017-01-02T13:20:00Z,42.51,5.838888889
2017-01-02T13:25:00Z,42.55,5.861111111
2017-01-02T13:30:00Z,42.6,5.888888889
2017-01-02T13:35:00Z,42.51,5.838888889
2017-01-02T13:40:00Z,42.67,5.927777778
2017-01-02T13:45:00Z,42.8,6
2017-01-02T13:50:00Z,42.76,5.977777778
2017-01-02T13:55:00Z,42.75,5.972222222
2017-01-02T14:00:00Z,42.76,5.977777778
2017-01-02T14:05:00Z,42.73,5.961111111
2017-01-02T14:10:00Z,42.94,6.077777778
2017-01-02T14:15:00Z,43.11,6.172222222
2017-01-02T14:20:00Z,42.98,6.1
2017-01-02T14:25:00Z,43.18,6.211111111
2017-01-02T14:30:00Z,43.3,6.277777778
2017-01-02T14:35:00Z,43.41,6.338888889
2017-01-02T14:40:00Z,43.48,6.377777778
2017-01-02T14:45:00Z,43.63,6.461111111
2017-01-02T14:50:00Z,43.39,6.327777778
2017-01-02T14:55:00Z,43.56,6.422222222
2017-01-02T15:00:00Z,43.56,6.422222222
2017-01-02T15:05:00Z,43.61,6.45
2017-01-02T15:10:00Z,43.68,6.488888889
2017-01-02T15:15:00Z,43.77,6.538888889
2017-01-02T15:20:00Z,43.95,6.638888889
2017-01-02T15:25:00Z,43.7,6.5
2017-01-02T15:30:00Z,44.02,6.677777778
2017-01-02T15:35:00Z,44.01,6.672222222
