,c
01/12/17 07:00 PM,21.70527944
01/12/17 08:00 PM,44.3853591342
01/12/17 09:00 PM,37.4617699317
01/12/17 10:00 PM,29.3536215775
01/12/17 11:00 PM,31.1168255192
01/13/17 12:00 AM,32.4562735958
01/13/17 01:00 AM,33.5856138708
01/13/17 02:00 AM,34.27408383
01/13/17 03:00 AM,35.05293705
01/13/17 04:00 AM,35.8276803333
01/13/17 05:00 AM,36.4512455958
01/13/17 06:00 AM,36.9271891142
01/13/17 07:00 AM,37.3649116658
01/13/17 08:00 AM,58.1194616658
01/13/17 09:00 AM,62.6378568533
01/13/17 10:00 AM,39.0774827775
01/13/17 11:00 AM,32.5683705225
01/13/17 12:00 PM,31.4876152683
01/13/17 01:00 PM,36.3949701283
01/13/17 02:00 PM,33.6261052867
01/13/17 03:00 PM,32.1492234783
01/13/17 04:00 PM,36.6918995875
01/13/17 05:00 PM,38.5122330083
01/13/17 06:00 PM,43.9919794917
01/13/17 07:00 PM,47.2023430567
01/13/17 08:00 PM,48.7173850933
01/13/17 09:00 PM,36.4131522358
01/13/17 10:00 PM,32.4513911617
01/13/17 11:00 PM,34.42033045
01/14/17 12:00 AM,35.5905509258
01/14/17 01:00 AM,36.5870201625
01/14/17 02:00 AM,37.5015082792
01/14/17 03:00 AM,38.4205027767
01/14/17 04:00 AM,39.0740424533
01/14/17 05:00 AM,39.5507043975
01/14/17 06:00 AM,39.8460687967
01/14/17 07:00 AM,39.7463677792
01/14/17 08:00 AM,39.5348745358
01/14/17 09:00 AM,63.1261674075
01/14/17 10:00 AM,64.4662490275
01/14/17 11:00 AM,47.188070925
01/14/17 12:00 PM,40.5429848625
01/14/17 01:00 PM,39.8181954633
01/14/17 02:00 PM,39.264550325
01/14/17 03:00 PM,39.1344884258
01/14/17 04:00 PM,46.7375761108
01/14/17 05:00 PM,39.2632682867
01/14/17 06:00 PM,47.4062942592
01/14/17 07:00 PM,39.1998718058
01/14/17 08:00 PM,32.0189325925
01/14/17 09:00 PM,32.46196175
01/14/17 10:00 PM,33.8327680975
01/14/17 11:00 PM,34.7075330983
01/15/17 12:00 AM,35.5241242325
01/15/17 01:00 AM,36.13999058
01/15/17 02:00 AM,36.6626965242
01/15/17 03:00 AM,37.4035929633
01/15/17 04:00 AM,38.124027685
01/15/17 05:00 AM,38.867129075
