# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.233258667999999858e+01,1.275764681000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.857870370000000548e+00,8.254166666999999791e+01,1.172129630000000056e+01,2.804166667000000075e+02,1.214458666999999936e+00,3.081522994499999868e+01,1.000000000000000000e+00
1.864319830999999894e+01,2.083040261000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.125324074000000074e+01,6.064999999999999858e+01,-4.816203703000000225e+00,6.275000000000000000e+01,2.235200000000000034e-02,3.234472287919999900e+01,1.000000000000000000e+00
2.422224526999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299537036999999984e+01,7.611666667000000075e+01,1.722083333999999866e+01,1.558333333000000209e+02,4.842933329999999925e-01,2.306765304250000170e+01,0.000000000000000000e+00
2.274389869999999902e+01,3.145451862999999904e+01,6.887739295000000084e+01,9.118209969000000115e+01,-1.192314814999999939e+01,4.195833333000000209e+01,-5.916666670000000350e-01,2.052500000000000000e+02,9.276079999999999881e-01,4.251982157329999978e+01,1.000000000000000000e+00
1.964598413999999948e+01,1.569704957999999984e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.257870371000000098e+00,5.435000000000000142e+01,4.124074074000000145e+00,4.100000000000000000e+01,0.000000000000000000e+00,2.843476573170000066e+01,1.000000000000000000e+00
2.250915588000000156e+01,1.102096103000000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.393055556000000195e+00,7.718333332999999641e+01,1.019861110999999987e+01,8.900000000000000000e+01,0.000000000000000000e+00,2.777554813420000102e+01,1.000000000000000000e+00
2.269216463000000061e+01,2.660483577000000111e+01,1.309767831000000058e+02,4.664020804999999825e+01,-3.778703703999999775e+00,6.474166667000000075e+01,2.170833333000000032e+00,1.617500000000000000e+02,9.536853330000000240e-01,4.225617162169999830e+01,1.000000000000000000e+00
2.240617913999999899e+01,1.058840468000000001e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.026851852000000065e+00,8.629166666999999791e+01,8.171759258999999886e+00,2.548333333000000209e+02,3.837093329999999858e-01,2.721239074080000009e+01,1.000000000000000000e+00
1.985641756000000058e+01,3.564533421000000146e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.095231481999999978e+01,7.436666667000000075e+01,-7.164351852000000243e+00,2.719166667000000075e+02,2.123439999999999994e+00,4.157541907499999922e+01,1.000000000000000000e+00
2.035469928999999922e+01,2.448554166999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.146759258999999531e+00,6.056666666999999649e+01,-1.514814815000000037e+00,2.870000000000000000e+02,4.302760000000000140e+00,3.445254625919999825e+01,1.000000000000000000e+00
2.430129189999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218518519000000033e+01,6.846666666999999507e+01,1.806111110999999880e+01,2.100833333000000209e+02,2.607733329999999961e-01,2.337990775500000140e+01,0.000000000000000000e+00
2.323261386000000073e+01,2.873279090000000036e+00,7.643943822999999327e+01,8.563818940000000168e+01,6.151388888999999693e+00,6.161666667000000075e+01,1.335972222000000009e+01,1.975000000000000000e+02,6.519333330000000037e-01,2.257450320829999768e+01,1.000000000000000000e+00
2.226666625000000010e+01,1.549895521000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.189814815000000081e+00,9.599166667000000075e+01,6.776851852000000065e+00,2.686666667000000075e+02,9.946639999999999926e-01,3.172323012170000212e+01,1.000000000000000000e+00
2.412950273999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.158333333000000032e+01,8.209999999999999432e+01,1.458657406999999928e+01,2.030000000000000000e+02,9.462346670000000293e-01,2.441386392080000078e+01,0.000000000000000000e+00
1.903073528999999908e+01,4.681002598999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.628703704000000130e+01,7.069166667000000359e+01,-1.203981480999999931e+01,1.542500000000000000e+02,6.333066700000000715e-02,4.906929282419999794e+01,1.000000000000000000e+00
2.065823775999999867e+01,4.683751409000000088e+00,1.253431465999999883e+00,4.509243103000000197e+00,-1.083796296000000048e+01,5.418333333000000351e+01,-2.874074073999999701e+00,3.082500000000000000e+02,1.281514666999999941e+00,2.959195917919999985e+01,1.000000000000000000e+00
2.282105908999999855e+01,3.840306467999999995e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.086990740999999971e+01,6.035000000000000142e+01,-4.344907408000000082e+00,2.860000000000000000e+02,2.332058667000000085e+00,5.542709129669999868e+01,1.000000000000000000e+00
2.143545591999999900e+01,2.515611312000000055e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.084027777999999920e+01,4.943333333000000351e+01,-1.639351851999999887e+00,1.468333333000000209e+02,0.000000000000000000e+00,3.646125694580000243e+01,1.000000000000000000e+00
2.004977433000000175e+01,3.105178596000000457e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.141527778000000026e+01,5.155833333000000351e+01,-2.827314814999999815e+00,2.060000000000000000e+02,1.490133333000000171e+00,1.857415706079999751e+01,1.000000000000000000e+00
2.270200333000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133518519000000069e+01,8.819166667000000359e+01,1.323240741000000043e+01,1.713333333000000209e+02,0.000000000000000000e+00,2.350693495920000231e+01,0.000000000000000000e+00
2.146242381000000066e+01,2.239864293000000117e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.417592593000000178e+00,9.175000000000000000e+01,2.623148148000000290e+00,5.350000000000000000e+01,0.000000000000000000e+00,3.594592781419999739e+01,1.000000000000000000e+00
2.432548929000000015e+01,2.832847788000000033e+00,1.104293670999999790e+02,8.482371203999999807e+02,4.023148147999999757e+00,3.824166667000000075e+01,1.850972222000000045e+01,2.421666666999999791e+02,2.831253333000000261e+00,2.418165374499999842e+01,1.000000000000000000e+00
2.116407686000000155e+01,8.255153694000000542e+01,1.368383543000000024e+01,2.151679311999999733e+00,-5.283796296000000225e+00,6.915833333000000493e+01,-3.226851849999999855e-01,4.566666666999999791e+01,3.241040000000000032e-01,6.312616740749999877e+01,1.000000000000000000e+00
2.236827673000000161e+01,7.946403817999999397e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.786111111000000307e+00,8.292499999999999716e+01,6.485185184999999741e+00,2.788333332999999925e+02,3.982381333000000190e+00,3.155499198669999927e+01,1.000000000000000000e+00
2.471282959999999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.206111111000000058e+01,7.940833333000000493e+01,1.559444444000000018e+01,2.284166666999999791e+02,1.341119999999999812e-01,2.439449842670000024e+01,0.000000000000000000e+00
1.975085849999999965e+01,8.281009174999999800e+01,4.157387511999999674e+00,1.118649396999999990e+00,-5.156481482000000227e+00,7.109999999999999432e+01,-5.680555560000000170e-01,2.966666667000000075e+02,2.618909332999999950e+00,6.263164763830000226e+01,1.000000000000000000e+00
