# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.008110419773040078e+01,1.061630978550599913e+01,5.891763057999999553e+00,4.142924387000000053e+01,-1.287222221999999938e+01,6.993333332999999641e+01,-8.362962962999999306e+00,2.462500000000000000e+02,7.003626670000000498e-01,4.573246023080000100e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
1.958924920724519936e+01,1.100425636239899951e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.562731480999999967e+01,7.689166667000000643e+01,-1.239814815000000081e+01,2.827500000000000000e+02,2.875957333000000116e+00,4.973288310170000415e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.246861247690889840e+01,4.940343757592470020e+00,1.865730513999999971e+02,1.614805531000000087e+02,-4.444444444000000161e+00,6.567499999999999716e+01,1.285648147999999935e+00,2.832500000000000000e+02,3.859445333000000034e+00,4.176924966170000175e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.165698626503749935e+01,8.825090508705459857e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.745370370000000726e-01,8.862500000000000000e+01,2.561111110999999774e+00,3.050000000000000000e+02,1.341119999999999812e-01,3.427408383000000214e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.257280447506800058e+01,1.769783114314190087e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.105231481999999943e+01,4.527499999999999858e+01,-6.736111109999999291e-01,2.930833332999999925e+02,1.300141333000000010e+00,5.633839124920000074e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.316767690678599934e+01,3.124419825174840071e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.857407407000000177e+00,3.912500000000000000e+01,5.998148147999999402e+00,1.412500000000000000e+02,6.333066700000000715e-02,1.907736133330000072e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.232289226553299955e+01,9.631971698171300389e+00,6.034260931000000028e+01,5.614811072999999624e+02,-1.117638889000000013e+01,5.172500000000000142e+01,-2.609259258999999886e+00,8.808333333000000209e+01,6.482080000000000064e-01,6.081231990669999732e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.088964371485009863e+01,1.099141182854910070e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.164953704000000023e+01,6.129999999999999716e+01,-5.375000000000000000e+00,2.905000000000000000e+02,1.594442666999999814e+00,3.998480944420000327e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.101410657232879942e+01,9.752954382802039746e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.629629630000000162e+00,5.850833332999999925e+01,3.747222221999999991e+00,1.670833333000000209e+02,1.713653330000000086e-01,3.689905556920000151e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.158771123172089901e+01,2.850455397805830060e+01,7.843688385999999468e+01,1.300877373000000059e+00,-4.425462963000000194e+00,5.644166666999999649e+01,3.411111111000000307e+00,2.639166667000000075e+02,2.387938666999999793e+00,5.276250300920000313e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
