# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
1.887408596845670061e+01,1.251351409844740026e+01,3.601917218999999726e+00,5.954888432000000620e+00,5.979166666999999791e+01,-2.870370400000000002e-02,5.359324699079999732e+01,1.000000000000000000e+00,4.299913422509685224e-01,1.959126664185723712e+02,2.581115264751913401e+02,1.353439180976968359e+00,1.514950189792889290e+01,4.239144622085458280e+01,2.058338149042670817e-01
2.568659757841179925e+01,2.450489540323410154e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.046666667000000217e+01,6.045833332999999143e+00,2.111502327420000213e+01,1.000000000000000000e+00,1.419234943906137747e-01,9.798532205471049394e+01,5.360882753281526902e+02,1.161050006203094842e+00,2.298271340975353993e+01,3.600943644720213399e+01,2.831438512483052672e-01
2.165124532669949886e+01,1.530029291962680027e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.021666666999999507e+01,-6.502777777999999564e+00,5.517323875000000299e+01,1.000000000000000000e+00,1.364622341905792346e-01,3.359242753057829418e+02,2.687849110677318549e+02,1.573812539169012759e+00,2.111661940421070227e+01,4.210785656777002828e+01,7.588788940675930683e-02
2.036550083821089885e+01,1.448202890489010031e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.056666666999999649e+01,-3.943981481999999872e+00,3.278986527080000002e+01,1.000000000000000000e+00,2.721017234191011047e-01,2.544024104626885219e+02,6.481627844156316769e+02,1.540858546095173587e+00,9.547839589645636948e+00,2.649005132129100204e+01,2.237231551137745800e-01
2.223827671893720037e+01,2.144617857240550052e+01,9.048886152999999410e+01,1.202006951999999984e+01,9.334999999999999432e+01,-8.037037040000000188e-01,5.348370050670000353e+01,1.000000000000000000e+00,6.861409285090424963e-03,2.630028377633159380e+02,3.614773450207242149e+02,1.553403284338075174e+00,1.867528582324710840e+01,2.408112238037316288e+01,2.594586431684600680e-01
1.532412278838389952e+01,1.298938737494930074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.317499999999999716e+01,9.975925925000000305e+00,4.252826289330000264e+01,1.000000000000000000e+00,3.931508794977878751e-01,2.006648198973004185e+02,5.456213843441628342e+02,1.259943175776971458e+00,1.137907727252128076e+01,2.346896579060522470e+01,1.443824330607090256e-01
2.415678765317230159e+01,8.016669897412210588e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.194166666999999649e+01,1.061990740999999971e+01,2.190098823170000131e+01,1.000000000000000000e+00,2.886852428370788315e-02,9.521829339114513857e+01,6.922034909551800865e+02,1.506496693459987934e+00,6.890697420174559440e+00,2.016127840967916640e+01,1.741059069102841583e-01
2.185551630115789834e+01,9.713235763198060368e+00,2.374084660000000113e+01,5.397090900000000024e-01,9.709166666999999507e+01,6.408796296000000225e+00,3.687410002920000096e+01,1.000000000000000000e+00,2.479673958146405843e-01,1.120711381083712297e+02,5.959219547966088157e+02,1.279741237193017023e+00,2.421654964960799461e+01,2.369511986393483838e+01,1.791176186086748112e-01
2.196113260350200136e+01,9.967879138237249137e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.920833333000000209e+01,6.497222222000000436e+00,3.005448634249999884e+01,1.000000000000000000e+00,2.886852428370788315e-02,9.521829339114513857e+01,6.922034909551800865e+02,1.506496693459987934e+00,6.890697420174559440e+00,2.016127840967916640e+01,1.741059069102841583e-01
2.080263096836520020e+01,1.082957655340499947e+01,4.200043671000000245e+01,8.627778622999999314e+00,7.397499999999999432e+01,8.441203703999999419e+00,3.387592111579999710e+01,1.000000000000000000e+00,4.992727792928417507e-01,3.105531246027227326e+02,6.955867886866440131e+02,1.304851033231410939e+00,1.314576615984198327e+01,3.723634720049748381e+01,2.451238155934817309e-01
2.294561083453389827e+01,7.692425809211809629e+00,1.647034385000000043e+02,1.026075890999999984e+02,8.686666667000000075e+01,1.289907406999999928e+01,2.895650856920000038e+01,1.000000000000000000e+00,3.805173849691620980e-01,3.074653824416108137e+02,5.599948104699928990e+02,1.521861137949642062e+00,1.145990569770294520e+01,3.148166659569692882e+01,2.395489953837906527e-01
2.193534922629959993e+01,1.140529674656460024e+01,4.080062239000000091e+01,3.951143533999999846e+00,8.158333333000000209e+01,-5.092592593000000001e+00,5.259741921330000025e+01,1.000000000000000000e+00,2.445129767648846764e-01,8.705085471740670755e+01,7.503280069354968873e+02,1.403510893422154515e+00,1.537403200208526854e+01,4.081790405734460592e+01,1.426529677741889511e-02
2.143277486812090160e+01,1.137537236699519916e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.561666667000000075e+01,-2.812962962999999927e+00,3.793795615670000387e+01,1.000000000000000000e+00,9.466056502714408072e-02,2.766458260484708944e+02,4.528042154891983841e+02,1.703189106351328919e+00,1.736262330603747372e+01,3.223822007162677750e+01,2.487059577592559689e-01
2.355410552808340086e+01,2.937209252136260051e+00,1.865730513999999971e+02,1.614805531000000087e+02,6.567499999999999716e+01,1.285648147999999935e+00,4.176924966170000175e+01,1.000000000000000000e+00,2.178203959675337475e-01,3.085684985876280280e+02,6.215300837313475313e+02,1.150308535025903911e+00,1.899982104486495871e+01,4.411321450377970166e+01,2.428866429570342989e-01
2.085195619792130017e+01,7.894955034636160107e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.194166666999999649e+01,2.418518517999999951e+00,2.815927108420000025e+01,1.000000000000000000e+00,1.319526490450098066e-01,7.815655815507155069e+01,4.740753028636333966e+02,1.411894073376380287e+00,1.811508149447031357e+01,2.875888212003912514e+01,1.961731047751947843e-01
2.543275204297290060e+01,6.137050783353109829e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.699166667000000075e+01,6.223611111000000307e+00,3.040163081000000034e+01,1.000000000000000000e+00,3.296768551083721910e-01,3.574301179791556820e+02,2.809336538345121426e+02,1.490482496877442387e+00,2.238264936928911553e+01,3.758465093442745797e+01,4.801138746805171803e-02
2.583356595412350032e+01,0.000000000000000000e+00,2.837788377000000040e+01,5.987149117000000409e+00,7.692499999999999716e+01,1.470509258999999957e+01,2.398053194499999918e+01,0.000000000000000000e+00,1.076499126291450698e-01,1.399028016281109785e+02,2.369149289530666636e+02,1.236714155384933234e+00,9.111436780023542070e+00,2.080614074385333012e+01,1.488940653322896601e-01
2.628213477342190174e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.793333332999999641e+01,1.550555555999999946e+01,2.415195694499999846e+01,0.000000000000000000e+00,1.005452410986208342e-02,2.005202988128411334e+02,2.001064423417979015e+02,1.665063777029018866e+00,7.152904972278968820e+00,4.903741508023498596e+01,2.514626249711917061e-01
1.439280603534919933e+01,1.328713827824570082e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.243333332999999641e+01,-1.152685184999999990e+01,4.972100777829999885e+01,1.000000000000000000e+00,2.257336447718172046e-01,6.847405672858366188e+01,3.356756806696942590e+02,1.520181410877189165e+00,1.740351196436375147e+01,3.454344618756552165e+01,2.158550207784194208e-01
1.523110443368559963e+01,1.315874928904920083e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.833333333000000209e+01,-2.431018519000000211e+00,4.087412101920000396e+01,1.000000000000000000e+00,7.091343552977384668e-02,1.147098682370543656e+02,4.820072462258262931e+02,1.502837450863805824e+00,7.282959856504378493e+00,2.651853720540342607e+01,2.296286902032528554e-01
2.260069383751960004e+01,0.000000000000000000e+00,7.427184670000001177e+01,5.232542017000000101e+00,7.638333332999999925e+01,5.645833332999999676e+00,5.061337939919999940e+01,0.000000000000000000e+00,4.270722630728554514e-01,1.327129730141888899e+02,8.070204293519356042e+02,1.656466121518306300e+00,1.064924018797453975e+01,3.082900323791178465e+01,1.294841001042796869e-01
2.586160761217960058e+01,6.564435889389489631e+00,1.179986480999999969e+02,9.303737937999999303e+02,3.744166666999999649e+01,2.025462963000000283e+00,3.256216532500000227e+01,1.000000000000000000e+00,4.534056862844855484e-02,7.606780301441071401e+01,2.927760162078366193e+02,1.287950693888904041e+00,1.680732264469717663e+01,4.531796434063096513e+01,2.316633109191817697e-01
2.231986955551469975e+01,7.472671844466179714e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.389166667000000643e+01,5.849537037000000161e+00,3.282215319000000164e+01,1.000000000000000000e+00,3.855093312410029505e-01,3.781654952958710396e+02,8.385294261336372301e+02,1.464499690264832843e+00,5.119154046714273321e+00,2.441792395172906538e+01,5.300188835398042531e-02
1.479681209600659919e+01,6.266448666116009925e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.703333332999999783e+01,-2.508333332999999943e+00,3.568475457920000338e+01,1.000000000000000000e+00,4.809903921330233589e-01,7.993572511758489441e+01,9.716126469048535910e+02,1.228733112432443875e+00,2.387367922753537286e+01,4.396308196321767525e+01,2.505091940778463866e-01
2.257536665557509892e+01,1.198311590578959951e+01,7.172049789999999803e+01,4.335065300000000121e+00,7.604999999999999716e+01,-5.293055556000000550e+00,5.413803874999999977e+01,1.000000000000000000e+00,4.718144490625673648e-01,3.721325727632969915e+02,4.012685942059389390e+02,1.370722860915291941e+00,2.492042629571963630e+01,4.353243589700977623e+01,2.447901700073335657e-02
2.221534068526799999e+01,9.494716439486259318e+00,9.331380864000000486e+01,4.123666245999999802e+01,7.655833332999999641e+01,1.305555559999999893e-01,5.985078930579999934e+01,1.000000000000000000e+00,3.752209452635660303e-01,1.440012573210081541e+02,4.125600072718913793e+02,1.258647355078819752e+00,5.765207590150977168e+00,4.368348220690599959e+01,9.216514002382333870e-02
