heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,pickedRoofInsuThickness,extWinU,extWinSHGC,infilRate,mullSurfaceMetalThickness
5.4755542366,14.20492216,10.52467681,88.66666667,8.401851852,29.6949846983,0.1233870902,1.842490745,0.4299576772,0.1618091769,0.0082695291
0,0,0,76.74166667,14.86435185,23.7609627217,0.1681561239,2.3743821268,0.5218140185,0.2089500165,0.0096162009
49.3955488345,18.01787505,1.808329562,80.16666667,-2.013425926,62.3461537483,0.1997661249,1.5985853499,0.4966494873,0.2590426726,0.0054661469
18.9271313083,16.78019289,0.031301052,77.66666667,2.781018519,38.9592312033,0.2342082743,2.3991368555,0.2994099597,0.361401682,0.0094929838
0,185.9643795,394.4478372,71.09166667,17.66712963,26.1270445,0.1977732285,2.2026111176,0.3038851668,0.4349195206,0.0060761674
0,98.12929077,311.0380746,84.61666667,16.37083333,24.9312433475,0.2244202788,2.1230685171,0.4612317645,0.4930240051,0.0062409804
11.1383561385,51.40085578,0.732544391,97.30833333,7.297222222,35.2114745192,0.2369380127,1.7970222382,0.6317012482,0.4808861932,0.0027520357
0,0,0,84.325,13.05601852,22.36650439,0.1869589657,2.6149261268,0.4083546747,0.3259681534,0.0031303169
0,0,0,76.66666667,15.77314815,24.1988085325,0.2434126067,2.7767893101,0.6143689644,0.1646177885,0.0077253027
16.7471858396,0,0,83.68333333,-4.260185185,37.8861981475,0.082989647,1.936115762,0.2630518011,0.4744764179,0.0044438516
37.0092580062,0,0,60.35,-4.344907408,55.4270912967,0.1806848346,2.8042865921,0.4949386326,0.2980543919,0.0037991075
8.9527235393,0,0,90.3,6.8875,33.62831369,0.1526992758,2.5124389538,0.4348069814,0.2819594317,0.0036471565
23.1831207724,0,0,70.69166667,-12.03981481,49.0692928242,0.1496861736,2.1286354325,0.507931076,0.2530652719,0.0097485878
9.7366233474,167.4485369,1.180708683,76.9,4.350462963,28.7330881392,0.1850207187,1.6294801207,0.6396436652,0.2277516719,0.0095210608
0,83.54066858,27.11041606,74.04807787,16.71371049,23.7667324075,0.0502820592,2.2590538122,0.6429073393,0.2950290458,0.0066935475
37.1027667418,0,0,67.03333333,-9.781944444,58.0663000467,0.2228339697,1.5688277786,0.3544752462,0.3409760606,0.0024290599
0,83.63761496,0.323357509,92.60833333,15.04351852,23.790172865,0.1473171026,2.9297649298,0.410011491,0.4276556645,0.0031678866
0,0,0,73.96666667,17.73333334,22.14282018,0.2800270231,2.9039779842,0.4900881632,0.3337881632,0.0092892915
0,64.35539394,25.23392657,64.56666667,13.52407408,21.1292095,0.1632940608,2.0693972316,0.4253202234,0.3981056196,0.0067481464
0,0,0,90.78333333,13.48564815,22.7235819625,0.1261810305,2.1993035074,0.4639095676,0.1910048103,0.0097986525
10.4487934872,63.36749644,1.226158851,89.60833333,7.491203704,33.8620939817,0.2569019956,1.5906627903,0.2814434591,0.260016929,0.0046585411
16.8344241976,286.8795467,308.4793772,53.86666667,0.824537037,41.9909117133,0.1016977071,2.4290973293,0.3679836308,0.3089183427,0.0069496879
56.6343977296,0,0,72.36666667,-10.86018518,64.4950818992,0.1303773135,2.5776080482,0.369205797,0.4367565915,0.0013822162
12.108604193,0,0,99.63333333,8.640740741,33.5223730817,0.1513027304,2.923800107,0.3107109378,0.3226226354,0.004363164
36.2819089173,0,0,73,7.704166666,19.1481446583,0.1713928886,2.4215947032,0.6090071231,0.3244840884,0.008057413
1.0494703292,0,0,47.88333333,8.218055555,19.1089178467,0.1933961579,2.566940858,0.5475961687,0.2938900914,0.0060409086
