Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  07:05:00,19.4035557438,,15.9863707591,,38.36558,38.7194371731
 01/01  07:10:00,19.3868960972,,15.4380605887,,37.68825,38.2264915819
 01/01  07:15:00,19.3719179333,,16.1382338074,,39.17082056,38.4444912942
 01/01  07:20:00,19.35100756,,17.2214567333,,39.55202333,39.0676696191
 01/01  07:25:00,19.3310892901,,16.6928051421,,38.36366444,38.9276416617
 01/01  07:30:00,19.3197024839,,16.2195215626,,38.66430056,38.673547587
 01/01  07:35:00,19.3093556331,,16.1005826359,,38.35119056,38.5468904667
 01/01  07:40:00,19.291245,,15.8718749992,,38.13631667,38.3357839968
 01/01  07:45:00,19.2699602091,,16.3368809484,,38.84012833,38.4760330672
 01/01  07:50:00,19.2540209391,,16.922008503,,39.17311778,38.8430725136
 01/01  07:55:00,19.2341202,,17.6728262218,,40.06912222,39.4046223427
 01/01  08:00:00,19.2177572117,19.3117190251,16.9630890893,16.4636425826,38.38915056,39.1934007715
 01/01  08:05:00,19.208167984,,34.7693599,,54.47570778,44.861580128
 01/01  08:10:00,19.2216289191,,46.472401681,,55.10226778,51.4082852756
 01/01  08:15:00,19.2907967458,,47.9501103439,,56.71374,54.4516188515
 01/01  08:20:00,19.3951292156,,50.1716094065,,58.24670556,56.5256351966
 01/01  08:25:00,19.5081035165,,50.6453382657,,60.06938889,58.3563885447
 01/01  08:30:00,19.7235906605,,51.6801269116,,61.57202833,60.058586162
 01/01  08:35:00,19.9410239678,,52.0779454711,,62.47737444,61.3998602575
 01/01  08:40:00,20.1584033336,,51.5524735117,,63.63202389,62.5512503637
 01/01  08:45:00,20.3387868357,,52.9037451876,,64.88148167,63.7412929743
 01/01  08:50:00,20.4841836988,,53.8602804192,,65.70187056,64.805049415
 01/01  08:55:00,20.6273235632,,54.1885317118,,66.29742944,65.6226022004
 01/01  09:00:00,20.778679537,19.8896514981,53.4390437491,49.9759138799,66.12926889,66.0004190337
 01/01  09:05:00,20.9404543892,,50.0440534741,,63.45392889,65.0545331064
 01/01  09:10:00,21.094256169,,46.0911779958,,61.65125556,63.3104937595
 01/01  09:15:00,21.2098999251,,45.0273122772,,61.79205556,62.2765169695
 01/01  09:20:00,21.2898594339,,45.8308965124,,62.05285833,62.0592314564
 01/01  09:25:00,21.3533205135,,46.998826843,,62.60802389,62.2688704473
 01/01  09:30:00,21.4116119654,,47.9535347093,,62.94589556,62.621432254
