Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/07  12:00:00,19.9757107763189,202675213.10964 
 01/07  13:00:00,20.3407696228164,201397740.068622 
 01/07  14:00:00,20.7559178581346,199523177.597449 
 01/07  15:00:00,21.0433856820094,199043377.749691 
 01/07  16:00:00,21.2240819512954,200467347.213582 
 01/07  17:00:00,21.3333287516679,198252088.18829 
 01/07  18:00:00,21.3826514705435,198388114.730924 
 01/07  19:00:00,21.3960920835995,201334058.136838 
 01/07  20:00:00,21.4008988056432,0.0 
 01/07  21:00:00,21.3443296695728,0.0 
 01/07  22:00:00,21.1426241387793,0.0 
 01/07  23:00:00,20.8785774261515,0.0 
 01/07  24:00:00,20.5807214640531,0.0 
 01/08  01:00:00,20.2570237455284,482008796.754761 
 01/08  02:00:00,20.0060086965664,370185881.622723 
 01/08  03:00:00,19.9271383991667,264553192.299612 
 01/08  04:00:00,19.8054944767897,214794123.705916 
 01/08  05:00:00,19.7960189516452,188217988.454639 
 01/08  06:00:00,19.7073542266163,173801551.683285 
 01/08  07:00:00,19.6787406689881,172292964.18292 
 01/08  08:00:00,19.6565657156022,172414312.564153 
 01/08  09:00:00,19.6312139061643,187128555.502724 
 01/08  10:00:00,19.5857387959645,201159592.91566 
 01/08  11:00:00,19.7821467626733,204556271.263394 
 01/08  12:00:00,20.0339865227988,204049452.239736 
 01/08  13:00:00,20.2941353549618,201661381.654624 
 01/08  14:00:00,20.4985356337698,201530574.33122 
 01/08  15:00:00,20.6497882555353,202909278.575943 
 01/08  16:00:00,20.7915523319737,201429920.481582 
 01/08  17:00:00,20.887289646757,201172977.692936 
 01/08  18:00:00,21.0717653739913,202329700.886806 
 01/08  19:00:00,21.1999216051626,202637318.026423 
 01/08  20:00:00,21.2208724105696,186868006.821719 
 01/08  21:00:00,21.1956706728089,0.0 
 01/08  22:00:00,21.1295658950319,0.0 
 01/08  23:00:00,20.9655653742038,0.0 
 01/08  24:00:00,20.7400666854523,0.0 
 01/09  01:00:00,20.4689468384024,406570578.322366 
 01/09  02:00:00,20.2266652545789,311893332.461123 
 01/09  03:00:00,20.042078415055,241828952.559183 
 01/09  04:00:00,20.0177789680737,195084686.055808 
 01/09  05:00:00,19.8885476133346,170507231.138601 
 01/09  06:00:00,19.7990413918492,167670445.979907 
 01/09  07:00:00,19.7724100363819,169335683.032815 
 01/09  08:00:00,19.7635014909567,181626319.086236 
 01/09  09:00:00,19.7549930128277,193535450.699574 
 01/09  10:00:00,19.7538883681335,197873332.626372 
 01/09  11:00:00,19.762037838887,200773945.229962 
 01/09  12:00:00,19.855311333666,202704715.00314 
 01/09  13:00:00,20.0032810691984,204237523.374273 
 01/09  14:00:00,20.2247282773192,202987934.481019 
 01/09  15:00:00,20.5719650775933,198442783.680619 
 01/09  16:00:00,21.0691363828343,194096338.446565 
 01/09  17:00:00,21.5335107235655,191304954.284512 
 01/09  18:00:00,21.8482644266201,0.0 
 01/09  19:00:00,22.0055949592967,10695244.1408297 
 01/09  20:00:00,21.9443964281098,83216761.4648776 
 01/09  21:00:00,21.8307067383949,0.0 
 01/09  22:00:00,21.6948282858925,0.0 
 01/09  23:00:00,21.5193567852461,0.0 
 01/09  24:00:00,21.3258967761117,0.0 
