# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
1.818871736212609846e+01,4.175294444898980117e+01,4.308971135000000174e+00,6.707494245000000355e+00,7.854166666999999791e+01,-3.918518518999999589e+00,5.581770199079999628e+01,1.000000000000000000e+00,3.627467409759404463e-03,1.664774180254443934e+02,5.013256815124701120e+02,1.406763492460585852e+00,7.654072508415043607e+00,1.664839831535915582e-01
2.553425789523100065e+01,2.543289599755059882e+01,1.223044919000000021e+02,7.176595897000000335e+00,6.928333333000000493e+01,3.178703703999999686e+00,3.788469585330000200e+01,1.000000000000000000e+00,3.419628284425757763e-03,2.358612637929725508e+02,4.770447403467093750e+02,1.684897460507028377e+00,3.385090009187126014e+01,2.438144755572166089e-01
2.395123516503230121e+01,2.215897959376230020e+01,1.136470537000000007e+02,3.214259658000000019e+00,7.568333332999999641e+01,-3.192592593000000090e+00,4.543017550999999798e+01,1.000000000000000000e+00,1.020995763574461057e-03,2.749009044555758692e+02,9.656936212373045691e+02,1.265949630471502330e+00,4.623736990078694475e+01,2.576750008235487721e-01
2.542554930097509924e+01,2.636334455328420034e+01,2.242545959000000266e+02,5.016725526999999829e+01,5.808333333000000209e+01,-1.651388889000000137e+00,4.383625629670000023e+01,1.000000000000000000e+00,1.548363021981761546e-03,3.161804244597766456e+02,2.755759171822952567e+02,1.350957640611208932e+00,3.189629530836116089e+01,1.444317274655524397e-01
2.072951431177940051e+01,2.884424209197329958e+01,1.075024291999999981e+01,1.981486399999999870e-01,9.677500000000000568e+01,5.101851852000000243e+00,4.130300773249999935e+01,1.000000000000000000e+00,2.001443314610056642e-03,8.332587525086117353e+01,7.739514679139352893e+02,1.402879336752659079e+00,7.152703452803524264e+00,1.957925412913540109e-01
2.273508143448729868e+01,2.694881276012510085e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.994166667000000359e+01,-3.481944444999999888e+00,4.933465921250000008e+01,1.000000000000000000e+00,4.948704627334058782e-03,1.143061712752514438e+02,6.845507653932008907e+02,1.299005187766334224e+00,2.445876558175403304e+01,2.284364322548728399e-01
2.350067203860589871e+01,1.350084778715329925e+01,1.604486900999999932e+02,2.437640044000000117e+01,8.273333332999999357e+01,5.510648147999999580e+00,3.426171686080000001e+01,1.000000000000000000e+00,3.887915174331547929e-03,1.758806093521608602e+02,7.472020764477089187e+02,1.478135441542840711e+00,2.672940999773497595e+01,6.447210082831640598e-02
2.460744631527159854e+01,2.101382321008379961e+01,9.776284524999999803e+01,1.734729860000000201e+02,5.604999999999999716e+01,2.606481480000000239e-01,4.071241699000000125e+01,1.000000000000000000e+00,4.548195021926236536e-03,2.095034399322672698e+02,8.130442913036806658e+02,1.361808180082848097e+00,4.057942059174638416e+01,1.281054588478623690e-01
2.115367166811180155e+01,2.695429002832189980e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.350833332999999925e+01,-2.700462963000000105e+00,4.044384694499999711e+01,1.000000000000000000e+00,2.171715927240420573e-03,7.694152143956827672e+01,3.154579747612220331e+02,1.451689076601888839e+00,2.698913225643450176e+01,7.681364176828577028e-02
2.260046012537500104e+01,6.013519944666129824e+00,1.371160688999999877e+02,8.336046957999999449e+02,4.931666666999999649e+01,-1.074074074000000101e+00,2.170470037999999846e+01,1.000000000000000000e+00,4.832756895337814856e-03,2.665577604783236438e+02,5.433297153862376945e+02,1.269097389920863739e+00,4.491740284691584861e+01,1.140793373452369114e-01
2.040128066300979981e+01,1.269242856272370013e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.571666666999999507e+01,1.382407406999999866e+00,2.937646877829999781e+01,1.000000000000000000e+00,3.981685860188535417e-03,2.999524292403433492e+02,3.109990402991347196e+02,1.490658277383177133e+00,3.727852760014879152e+01,2.561645819209520392e-01
2.338214343586500021e+01,4.940033887782239930e+01,1.392590275999999960e+02,6.199348624000000285e+01,6.638333332999999925e+01,-5.376851852000000598e+00,5.426037888919999830e+01,1.000000000000000000e+00,1.057812014964424436e-03,1.830195767776705509e+02,9.095157221350837062e+02,1.405513114689132870e+00,3.233402357303720009e+01,2.051765462279774022e-01
2.732679413567310078e+01,3.209996025857279989e+01,1.923498004999999864e+02,6.650343079999998963e+01,6.189999999999999858e+01,-3.053240741000000202e+00,4.269534495250000106e+01,1.000000000000000000e+00,1.301924354330412327e-03,6.756420762554566295e+01,3.470596812176551111e+02,1.544381766461613514e+00,4.541922293664007526e+01,7.127720470762845262e-02
1.950129652538370095e+01,4.124435087326199678e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.837500000000000000e+01,3.965740741000000291e+00,2.136253188999999963e+01,1.000000000000000000e+00,4.573893489634754499e-03,3.742844404784396488e+02,9.683250554640773089e+02,1.707612977628758300e+00,2.905628420772340093e+01,1.687889428269872261e-01
2.190208331351760052e+01,0.000000000000000000e+00,7.915507798000000150e+01,7.487498467999998866e+02,4.236666667000000075e+01,1.515324073999999932e+01,2.310938611170000101e+01,0.000000000000000000e+00,2.545874099916232459e-03,1.492142939652727307e+02,4.279120952078404230e+02,1.282882833324701766e+00,2.082089609996167212e+01,1.869728299756155676e-01
2.225780511906300063e+01,2.154966632997890130e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.265833333000000493e+01,2.313425925999999855e+00,3.573690302920000050e+01,1.000000000000000000e+00,3.644310838771024422e-03,1.314181275973641334e+02,3.615589778895927111e+02,1.671595262637485479e+00,2.308368725774190722e+01,2.246282841298892219e-01
