Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
0,0,0,75.03333333,13.99768519,0.0844405925,2.2189417667,0.565551848,0.3740735527,0.0012647564
23.318456965,0,0,45.275,-0.673611111,0.1841072111,1.6807625015,0.4156699944,0.2698401591,0.0090995947
0,0,0,75.03333333,13.99768519,0.2536734861,2.8619121188,0.4127296358,0.4126926626,0.0014165684
0,213.518119,75.10424193,49.78333333,13.46296296,0.2034157468,1.8907560368,0.3513981041,0.2063733036,0.0036497905
10.0150789573,0,0,93.34166667,2.204166667,0.2125716002,1.6332364374,0.2695256784,0.4606268004,0.0031727853
29.6849082315,61.13603173,1.238218368,72.31666667,-0.063425926,0.2340857472,2.45157365,0.3128874685,0.2971710771,0.0024729843
32.4105536281,77.78792163,815.7048409,62.5,6.30462963,0.0658128074,2.4934376299,0.5178984831,0.2909582224,0.0085969861
0,40.12492949,1.014517358,98.9,13.74953704,0.2154954547,2.0314507846,0.6374844865,0.3837598159,0.0022552824
0,0,0,56.695,13.17962963,0.2070021865,2.4839151877,0.6494820892,0.2592376459,0.0035545364
19.0620256333,0,0,65.6,6.116666667,0.0529802228,1.6747991457,0.3996932898,0.1737296446,0.0085797971
41.7387774901,0,0,73.89166667,6.910185185,0.0658128074,2.4934376299,0.5178984831,0.2909582224,0.0085969861
33.0149363121,183.6392636,3.474890874,81.46666667,-4.432870371,0.1458792088,2.7740437595,0.5322761185,0.4219366127,0.0057512727
14.9829641493,0,0,90.55833333,3.260185185,0.2592779104,2.1143959984,0.5946326252,0.4546477,0.0092859081
44.6236433316,185.6623552,168.8862515,61.05,-4.675925926,0.1960622508,2.5498024146,0.5277352019,0.3063688694,0.0030305407
16.3291445482,0,0,94.19166667,1.833796296,0.2573767296,2.8078617788,0.361738603,0.4283426633,0.0010436896
22.7627719776,95.05755877,898.9216738,40.38333333,1.32962963,0.1504058771,2.1416371487,0.6103658682,0.3614421937,0.004190277
9.5678380541,0,0,95.00833333,5.388888889,0.1325681986,2.0678715621,0.6485460597,0.4218055104,0.0076805579
43.5721866059,60.88715932,6.664038203,77.99166667,-1.027314815,0.2552468496,1.7784806148,0.3861542842,0.251527669,0.0073814973
