# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
2.107702444199189884e+01,9.207470840990039207e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.951666667000000643e+01,4.318518518999999500e+00,3.296693082329999669e+01,1.000000000000000000e+00,4.704840401142247955e-03,5.223264146478286420e+02,1.281003806856355176e+00
1.871606229315180059e+01,3.475160185106820165e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.553333333000000493e+01,-8.704629629999999452e+00,3.934009874920000271e+01,1.000000000000000000e+00,1.876356322851181150e-03,9.693467228060856087e+02,1.586710775748956914e+00
2.340854694715509865e+01,3.806500644057329907e+01,8.880751542000000143e+01,1.800773274999999956e+02,4.361666667000000075e+01,-1.984259259000000108e+00,4.689656194500000197e+01,1.000000000000000000e+00,2.079590990967232836e-03,5.539112855098815089e+02,1.580474169022995090e+00
2.223037980902940092e+01,5.390474623652019570e-01,1.285175442999999973e+02,8.050858352999998715e+02,6.442499999999999716e+01,1.515416667000000039e+01,2.363232314749999929e+01,5.833333333000000342e-01,2.033353554147745382e-03,4.949232850003434692e+02,1.460083713831677565e+00
2.175519478234300053e+01,1.614640357329410136e+01,1.937681273999999831e+01,5.305526779999999443e-01,9.708333333000000209e+01,7.216666667000000146e+00,3.338283055080000139e+01,1.000000000000000000e+00,1.045658280172825786e-03,5.656562573422372679e+02,1.370276172487654431e+00
2.253981532933140031e+01,1.498807849329210029e+01,6.120883134000000325e+01,1.732443480000000202e-01,9.795833333000000209e+01,1.009999999999999964e+01,3.003095529670000019e+01,1.666666666999999935e-01,4.874751922385033021e-03,4.332659112270517880e+02,1.669347816177910726e+00
2.362905672193780049e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.950833332999999925e+01,1.517129630000000162e+01,2.451911387330000025e+01,0.000000000000000000e+00,2.176906702991593043e-03,6.459209653205748509e+02,1.354795211727531701e+00
1.972325277743849981e+01,6.724591408640129941e+01,1.883650441999999714e+02,2.575504271000000145e+01,8.259999999999999432e+01,-7.037037037000000161e+00,6.016101601919999808e+01,1.000000000000000000e+00,1.034565920248698518e-03,8.103378832081340306e+02,1.441174911472680176e+00
2.242475771709069932e+01,5.804971874391389619e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.393333333000000351e+01,1.204907406999999964e+01,2.674258749999999907e+01,1.000000000000000000e+00,1.410527203287130363e-03,7.187002200384044954e+02,1.179096181393926246e+00
1.832824900204749952e+01,5.103188090653689812e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.134999999999999432e+01,3.157870369999999927e+00,2.908607014000000035e+01,1.000000000000000000e+00,4.135222790478412791e-03,7.763338961960417919e+02,1.691946201626943980e+00
2.184252840096250026e+01,2.248078236168489852e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.312500000000000000e+01,1.170972221999999974e+01,3.060401203749999866e+01,1.000000000000000000e+00,1.126651238908194007e-03,3.081266333290353714e+02,1.682068687103423610e+00
2.008875099806899911e+01,6.708844382432819486e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.840000000000000568e+01,-8.888888899999999871e-02,3.833788023079999618e+01,1.000000000000000000e+00,1.009833486335210946e-03,8.864388417888688991e+02,1.577694520920472243e+00
2.055219663697710075e+01,1.751690954034589964e+01,1.585859908999999845e+02,5.355354151000000229e+00,7.164166667000000643e+01,-2.316203703999999863e+00,4.425822643419999736e+01,1.000000000000000000e+00,4.675075241475760285e-03,5.411939666486774740e+02,1.167617160498187534e+00
2.120566763338739946e+01,2.532007865391529933e+01,5.061655927999999705e+01,2.613150562999999948e+01,7.292499999999999716e+01,3.494444445000000066e+00,3.841468236170000239e+01,1.000000000000000000e+00,2.579546970568180782e-03,9.659333362881316134e+02,1.262038947287461355e+00
2.201928380292400078e+01,2.103510365118039971e+01,6.120883134000000325e+01,1.732443480000000202e-01,9.795833333000000209e+01,1.009999999999999964e+01,3.003095529670000019e+01,1.666666666999999935e-01,1.268891348735498234e-03,7.098577906031889597e+02,1.526712188999138853e+00
2.031456833006360085e+01,3.145827666875459894e+00,4.572286960999999650e+01,4.222398689999999899e-01,9.777500000000000568e+01,1.102962963000000052e+01,2.093781457920000122e+01,0.000000000000000000e+00,1.288432299563611275e-03,4.516016271971358265e+02,1.634719832448143784e+00
2.084716096275260000e+01,2.547260916046399970e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.220000000000000284e+01,5.509259258999999354e+00,3.372763637919999979e+01,1.000000000000000000e+00,1.486224621799151413e-03,5.139752457548245275e+02,1.596563259784854472e+00
2.027750231442760054e+01,9.535356652289390667e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.318333332999999641e+01,4.723148147999999935e+00,3.421131605579999757e+01,1.000000000000000000e+00,2.638878980347303220e-03,5.573555221113605285e+02,1.197008197402998686e+00
2.417934279417499965e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.792499999999999716e+01,1.837500005000000058e+01,2.306445138999999855e+01,0.000000000000000000e+00,1.260321381444684877e-03,2.064861073368287236e+02,1.605995179971976716e+00
2.281294594432219824e+01,0.000000000000000000e+00,2.564063704000000143e+02,4.308872382000000130e+02,5.554999999999999716e+01,1.589351852000000065e+01,8.756340556099999617e+00,2.500000000000000000e-01,4.675075241475760285e-03,5.411939666486774740e+02,1.167617160498187534e+00
2.114337148381509834e+01,1.791602354728070168e+01,2.242545959000000266e+02,5.016725526999999829e+01,5.808333333000000209e+01,-1.651388889000000137e+00,4.383625629670000023e+01,1.000000000000000000e+00,3.887629580672644601e-03,7.470531451197290380e+02,1.186161581464260983e+00
2.313000364562320144e+01,2.797152053082410106e+01,1.923498004999999864e+02,6.650343079999998963e+01,6.189999999999999858e+01,-3.053240741000000202e+00,4.269534495250000106e+01,1.000000000000000000e+00,3.896607368044072064e-03,5.282890390414623880e+02,1.530952251248803186e+00
2.275241193986159871e+01,1.943052091804469939e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.853333333000000493e+01,2.993981481999999694e+00,3.647477338750000087e+01,1.000000000000000000e+00,3.812344423019213037e-03,4.872582130794578461e+02,1.569511593023965146e+00
2.346651463055960107e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.793333333000000351e+01,2.089444445000000172e+01,2.295832337079999874e+01,0.000000000000000000e+00,1.780496228207607660e-03,9.374944133014782892e+02,1.556415873671770589e+00
1.769113123340849825e+01,1.407065069807910085e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,-1.196342592999999965e+01,4.737915310079999642e+01,1.000000000000000000e+00,4.397520004383441775e-03,8.217863931715179433e+02,1.155460598355732449e+00
1.681213112518799946e+01,1.227845343126340083e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.894166667000000359e+01,-8.237500000000000711e+00,3.689557341670000312e+01,1.000000000000000000e+00,1.931176783387614053e-03,6.703850443249529008e+02,1.148345913112651662e+00
2.678508063660839866e+01,0.000000000000000000e+00,1.541599621999999954e+02,6.252110251000000289e+02,4.823333333000000067e+01,2.326249999999999929e+01,2.025468839750000072e+01,0.000000000000000000e+00,4.886382991609324045e-03,2.442338427015962168e+02,1.693575374971676428e+00
2.325308462746360050e+01,1.572182982947249918e+01,6.385899904000000049e+01,3.778066635000000062e+00,8.552500000000000568e+01,5.504629630000000162e+00,3.509567422170000128e+01,1.000000000000000000e+00,3.382240856490635258e-03,2.031694973061784424e+02,1.403544601008325454e+00
1.754751429701239829e+01,1.701585594537339929e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.735833332999999357e+01,-1.125787036999999913e+01,4.212905115830000113e+01,1.000000000000000000e+00,1.443689740461048332e-03,4.230357651754195558e+02,1.164483321049857079e+00
2.294829557170359990e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.846666666999999507e+01,1.806111110999999880e+01,2.337990775500000140e+01,0.000000000000000000e+00,1.201806691845093509e-03,8.180117050244166421e+02,1.524652149722410588e+00
2.135015653537789859e+01,2.041880520754619965e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.805833332999999641e+01,1.535648148000000157e+00,4.791551388749999774e+01,1.000000000000000000e+00,4.810895622157197217e-03,3.463116337700562326e+02,1.129350475741968562e+00
2.227144926416929849e+01,2.903926575163150048e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200833332999999925e+01,8.001851851999999710e+00,3.886377054580000134e+01,1.000000000000000000e+00,2.989662855860256065e-03,7.648368652211662493e+02,1.585902155947244818e+00
2.088857381678289826e+01,2.826164186213449980e+01,2.180598794000000282e+02,1.414552101999999820e+02,6.947499999999999432e+01,-2.823611111000000395e+00,5.807574148079999787e+01,1.000000000000000000e+00,2.253506857997715149e-03,5.271708348210383974e+02,1.435298378256498086e+00
2.151020132385299988e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.653333333000000493e+01,1.292222222000000009e+01,2.164598543079999970e+01,0.000000000000000000e+00,4.412754020162315896e-03,6.204334455928897114e+02,1.270507017205126710e+00
2.442259760546290082e+01,0.000000000000000000e+00,7.111849135999999305e+01,5.193835406000000603e+02,5.690833332999999783e+01,1.940833333000000138e+01,2.357929054579999928e+01,0.000000000000000000e+00,3.567085830152808695e-03,6.499836259141926575e+02,1.413904504573140652e+00
2.349517659032759909e+01,2.086324329336210148e+00,1.090657379999999819e+02,8.559136993999999277e+02,5.010000000000000142e+01,7.386574073999999435e+00,2.354307081829999859e+01,1.000000000000000000e+00,2.600844390544889556e-03,5.710262323931921173e+02,1.686818413972915209e+00
1.825642755702790154e+01,3.636570823448919754e+01,1.161104212000000047e+02,3.797063861999999972e+02,4.895000000000000284e+01,-1.066666667000000013e+00,2.720546178580000074e+01,1.000000000000000000e+00,1.503044156861843214e-03,5.057844148581380068e+02,1.338992000647435177e+00
1.987577106970029917e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.518333332999999641e+01,5.254629629999999496e-01,1.951149214249999986e+01,0.000000000000000000e+00,3.193257424064462925e-03,5.700527987445725557e+02,1.712976951016058180e+00
2.126223184151429990e+01,0.000000000000000000e+00,1.563568732999999895e+02,2.726822380999999851e+01,8.422499999999999432e+01,1.525462963000000016e+01,2.150646038420000039e+01,0.000000000000000000e+00,3.720881286215697078e-03,3.750972857699595693e+02,1.306642564461925282e+00
