EST,iw north average temp C,iw heating energy kWh,,,
13/01/2017 23:00,21.69829896,22.1731418,,,
14/01/2017 0:00,21.455002,22.99405598,,,
14/01/2017 1:00,21.27516438,24.25182741,,,
14/01/2017 2:00,21.09733757,26.29077401,,,
14/01/2017 3:00,20.92759519,27.17945364,,,
14/01/2017 4:00,20.80737989,27.72044686,,,
14/01/2017 5:00,20.73518584,28.53125091,,,
14/01/2017 6:00,20.6993456,29.50763653,,,
14/01/2017 7:00,20.71887255,28.72234984,,,
14/01/2017 8:00,20.73412665,27.2691075,,,
14/01/2017 9:00,21.16407686,82.55153694,,,
14/01/2017 10:00,22.31949718,61.03668558,,,
14/01/2017 11:00,23.010198,17.16081193,,,
14/01/2017 12:00,22.85911621,24.99995049,,,
14/01/2017 13:00,22.80939937,24.8513962,,,
14/01/2017 14:00,22.80298385,23.65863118,,,
14/01/2017 15:00,22.72921854,24.53494538,,,
14/01/2017 16:00,22.74439051,35.12272097,,,
14/01/2017 17:00,22.80748226,25.65712827,,,
14/01/2017 18:00,22.69877435,43.04238691,,,
14/01/2017 19:00,22.82548126,20.06555911,,,
14/01/2017 20:00,22.51091312,10.35411233,,,
14/01/2017 21:00,22.13231003,18.12083948,,,
14/01/2017 22:00,21.85654285,20.18744081,,,
14/01/2017 23:00,21.65719355,20.94598078,,,
15/01/2017 0:00,21.491446,22.33239924,,,
15/01/2017 1:00,21.37731313,22.87211602,,,
15/01/2017 2:00,21.2794368,23.89340484,,,
15/01/2017 3:00,21.13625582,25.39158701,,,
15/01/2017 4:00,20.99038504,26.31018327,,,
15/01/2017 5:00,20.84855873,27.45273209,,,
15/01/2017 6:00,20.72453167,29.56008465,,,
15/01/2017 7:00,20.62600995,28.98075683,,,
15/01/2017 8:00,20.56718312,29.13310738,,,
15/01/2017 9:00,20.91994249,77.02728513,,,
15/01/2017 10:00,22.28596906,59.62397671,,,
15/01/2017 11:00,23.3277396,5.937446088,,,
15/01/2017 12:00,23.2691229,16.92829752,,,
15/01/2017 13:00,23.29726976,20.11861736,,,
15/01/2017 14:00,23.28825588,21.06268375,,,
15/01/2017 15:00,23.26306401,19.94154744,,,
15/01/2017 16:00,23.15623675,22.90052504,,,
15/01/2017 17:00,23.01869884,23.94876694,,,
15/01/2017 18:00,22.80673176,26.3219378,,,
15/01/2017 19:00,22.6411305,27.40246531,,,
15/01/2017 20:00,22.4055355,10.19720374,,,
15/01/2017 21:00,21.95930977,19.85941321,,,
15/01/2017 22:00,21.67459529,22.45880531,,,
15/01/2017 23:00,21.43715056,23.1641318,,,
16/01/2017 0:00,21.23254652,25.90566232,,,
16/01/2017 1:00,21.10833889,25.4948364,,,
16/01/2017 2:00,21.02824234,25.96610221,,,
16/01/2017 3:00,20.96255423,26.57130389,,,
16/01/2017 4:00,20.86992165,27.53684159,,,
16/01/2017 5:00,20.77025459,28.35900982,,,
16/01/2017 6:00,20.67522075,29.07903288,,,
16/01/2017 7:00,20.61238494,29.63035735,,,
16/01/2017 8:00,20.93941395,76.44523448,,,
16/01/2017 9:00,22.06271529,65.73942619,,,
16/01/2017 10:00,22.99628036,27.48725834,,,
16/01/2017 11:00,23.04479675,27.95209752,,,
16/01/2017 12:00,23.04334657,23.68644363,,,
16/01/2017 13:00,23.08774473,21.33660117,,,
16/01/2017 14:00,23.02011489,20.60200644,,,
16/01/2017 15:00,22.98483625,20.52696776,,,
16/01/2017 16:00,22.88143562,22.21922096,,,
16/01/2017 17:00,22.68629726,42.36917581,,,
16/01/2017 18:00,22.8592697,14.68742515,,,
16/01/2017 19:00,22.71611518,29.65395374,,,
16/01/2017 20:00,22.75899819,18.76996698,,,
16/01/2017 21:00,22.58527718,9.336315578,,,
16/01/2017 22:00,22.31381809,17.09935176,,,
16/01/2017 23:00,22.12985094,17.80620192,,,
17/01/2017 0:00,21.99934757,18.41106967,,,
17/01/2017 1:00,21.91464584,18.69897174,,,
17/01/2017 2:00,21.89439877,18.52026467,,,
17/01/2017 3:00,21.93698518,18.57167274,,,
17/01/2017 4:00,21.78204419,19.81537397,,,
17/01/2017 5:00,21.68599655,20.88831623,,,
17/01/2017 6:00,21.65446003,19.82684485,,,
17/01/2017 7:00,21.66560724,20.85899378,,,
17/01/2017 8:00,21.98067816,65.33655123,,,
17/01/2017 9:00,22.97426148,20.91950874,,,
17/01/2017 10:00,23.20966567,9.597147052,,,
17/01/2017 11:00,23.33647566,9.116635495,,,
17/01/2017 12:00,23.48408691,1.335952628,,,
17/01/2017 13:00,23.46563226,0,,,
17/01/2017 14:00,23.47063787,0,,,
17/01/2017 15:00,23.80399306,0,,,
17/01/2017 16:00,23.91110797,0,,,
17/01/2017 17:00,23.76993564,0,,,
17/01/2017 18:00,23.39688761,0,,,
17/01/2017 19:00,23.1465679,0,,,
17/01/2017 20:00,22.89381922,0,,,
17/01/2017 21:00,22.67011154,0,,,
17/01/2017 22:00,22.43009641,0,,,
17/01/2017 23:00,22.27314008,13.44894898,,,
18/01/2017 0:00,22.33258668,12.75764681,,,
18/01/2017 1:00,22.32113066,14.01035851,,,
18/01/2017 2:00,22.28279527,13.13433123,,,
18/01/2017 3:00,22.29689689,13.93983345,,,
18/01/2017 4:00,22.23536409,14.39682038,,,
18/01/2017 5:00,22.12961269,14.3164019,,,
18/01/2017 6:00,22.10084424,15.89520604,,,
18/01/2017 7:00,21.94781105,17.13751921,,,
18/01/2017 8:00,22.20868268,65.81419697,,,
18/01/2017 9:00,22.82082353,9.37525787,,,
18/01/2017 10:00,22.68025584,19.20634265,,,
18/01/2017 11:00,22.67972838,19.4052685,,,
18/01/2017 12:00,22.74565086,19.56926608,,,
18/01/2017 13:00,22.69981404,21.35292253,,,
18/01/2017 14:00,22.64600906,21.80459323,,,
18/01/2017 15:00,22.5895965,21.51863308,,,
18/01/2017 16:00,22.59657772,22.08358214,,,
18/01/2017 17:00,22.64571818,21.15544773,,,
18/01/2017 18:00,22.56881736,22.48987784,,,
18/01/2017 19:00,22.52940437,22.5589088,,,
18/01/2017 20:00,22.56160642,43.29118282,,,
18/01/2017 21:00,22.87532722,4.954943226,,,
18/01/2017 22:00,22.53253332,12.53238258,,,
18/01/2017 23:00,22.21144245,16.72706159,,,
19/01/2017 0:00,21.99813299,18.59662523,,,
19/01/2017 1:00,21.85443269,19.60583226,,,
19/01/2017 2:00,21.76089001,19.4090995,,,
19/01/2017 3:00,21.74952499,18.98989748,,,
19/01/2017 4:00,21.6847649,19.80556278,,,
19/01/2017 5:00,21.61560804,20.55855178,,,
19/01/2017 6:00,21.57828689,20.29482247,,,
19/01/2017 7:00,21.54838421,21.48328116,,,
19/01/2017 8:00,21.85918741,74.47332806,,,
19/01/2017 9:00,22.82639911,22.20330123,,,
19/01/2017 10:00,22.85845261,19.08119171,,,
19/01/2017 11:00,22.77728003,21.49037465,,,
19/01/2017 12:00,22.9470856,18.22037285,,,
19/01/2017 13:00,23.02932857,17.2435893,,,
19/01/2017 14:00,23.1198622,16.92850833,,,
19/01/2017 15:00,23.28214902,12.67352629,,,
19/01/2017 16:00,23.40573695,5.048642745,,,
19/01/2017 17:00,23.28589834,17.41971108,,,
19/01/2017 18:00,23.01778994,18.34404103,,,
19/01/2017 19:00,22.79723872,22.13204093,,,
19/01/2017 20:00,22.62968168,23.76054936,,,
19/01/2017 21:00,22.40464513,11.69129762,,,
19/01/2017 22:00,22.07848452,17.22232044,,,
19/01/2017 23:00,21.92455811,19.38892645,,,
20/01/2017 0:00,21.74497435,20.14859444,,,
20/01/2017 1:00,21.63876797,20.78403014,,,
20/01/2017 2:00,21.56059246,21.76096423,,,
20/01/2017 3:00,21.5643309,21.14786368,,,
20/01/2017 4:00,21.49294532,21.66533258,,,
20/01/2017 5:00,21.46242381,22.39864293,,,
20/01/2017 6:00,21.44103325,21.78954111,,,
20/01/2017 7:00,21.40807948,22.13900378,,,
20/01/2017 8:00,21.69693858,74.07936231,,,
20/01/2017 9:00,22.69706808,38.73127175,,,
20/01/2017 10:00,23.00050242,10.05461096,,,
20/01/2017 11:00,22.73076163,18.1070757,,,
20/01/2017 12:00,22.80308136,16.27536559,,,
20/01/2017 13:00,22.95528573,14.31592488,,,
20/01/2017 14:00,23.15354987,12.48386831,,,
20/01/2017 15:00,23.43200279,7.789048129,,,
20/01/2017 16:00,23.61295429,3.073949139,,,
20/01/2017 17:00,23.57487827,0,,,
20/01/2017 18:00,23.23308325,0,,,
20/01/2017 19:00,22.94504955,0,,,
20/01/2017 20:00,22.70200333,0,,,
20/01/2017 21:00,22.47305037,0,,,
20/01/2017 22:00,22.34919092,14.25264533,,,
