# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
2.459828255549999909e+01,3.169859398010000007e+01,1.678019288999999858e+01,3.130105200000000282e-02,7.766666666999999791e+01,2.781018518999999856e+00,9.894864000000000437e-02,1.939365676900000057e+00,3.644894289000000231e-01,2.317208823999999945e-01,6.747145199999999600e-03
2.155032646900000159e+01,1.212334796730000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.268333332999999641e+01,6.206018518999999678e+00,1.052951230999999988e-01,2.464828435299999843e+00,5.646652975000000518e-01,3.954743774999999739e-01,3.377706199999999919e-03
2.741899674300000100e+01,1.361490558050000033e+01,2.359502253999999937e+02,2.482546705000000031e+02,5.596666667000000217e+01,1.046481481000000002e+01,2.230303325999999919e-01,1.811008841300000061e+00,4.294367201000000023e-01,2.790501268999999729e-01,9.010955299999999848e-03
2.428940706750000089e+01,3.251285617690000151e+01,1.480851456999999982e+02,3.104982916999999887e+01,5.568333333000000351e+01,6.833333329999999872e-01,2.722647557999999801e-01,1.930424720500000024e+00,4.403455129000000134e-01,2.039853708000000099e-01,6.128098999999999699e-03
2.396815504430000132e+01,3.169252736210000165e+01,4.639117690999999866e+01,7.160379949999999827e-01,8.469166667000000359e+01,4.752777777999999564e+00,8.559273330000000124e-02,2.709829249099999782e+00,3.039667207999999787e-01,1.549753442000000037e-01,2.175762199999999990e-03
2.426653704279999957e+01,1.179552839349999971e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.531666667000000359e+01,3.411111110999999863e+00,2.056012584999999948e-01,2.420922354700000056e+00,5.190890054000000253e-01,2.642166752999999813e-01,8.730820999999999721e-03
2.819698689530000024e+01,0.000000000000000000e+00,9.631338522000000069e+01,6.631529999000000544e+02,4.829999999999999716e+01,2.368842593000000107e+01,1.418350386999999990e-01,1.588180939899999977e+00,4.246905398999999970e-01,3.465745697000000014e-01,4.961230599999999838e-03
2.141124447529999841e+01,4.677109261100000026e+01,1.102192129999999964e-01,6.486436399999999380e-02,9.409166666999999507e+01,3.870833333999999848e+00,1.661967693999999995e-01,2.139335993200000008e+00,4.217777140999999785e-01,4.052953677000000199e-01,9.642989700000000053e-03
2.254682002330000046e+01,4.180993571129999964e+01,1.343906248000000119e+02,5.696424505999999610e+02,7.077500000000000568e+01,8.523148149999999479e-01,1.841072111000000011e-01,1.680762501500000061e+00,4.156699944000000202e-01,2.698401590999999766e-01,9.099594699999999717e-03
1.815306538529999969e+01,4.622110490059999677e+01,1.237766778999999957e+02,1.567670575999999869e+02,6.467499999999999716e+01,-7.680555554999999757e+00,1.619143691999999912e-01,2.628337583400000010e+00,5.119267441999999502e-01,2.235096733999999974e-01,2.131331299999999866e-03
2.352493369280000124e+01,1.741470628580000124e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.690833333000000493e+01,2.085648148000000202e+00,2.592779103999999779e-01,2.114395998400000032e+00,5.946326252000000423e-01,4.546476999999999880e-01,9.285908100000000304e-03
1.934858099899999928e+01,1.482684788010000076e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.073333333000000067e+01,-6.783333332999999854e+00,1.910421167999999947e-01,2.676886795700000210e+00,3.913116439000000057e-01,4.859016373000000222e-01,4.049122700000000290e-03
2.454492091879999904e+01,0.000000000000000000e+00,2.096440102999999944e+00,3.465949309999999950e-01,9.529999999999999716e+01,1.307268518999999962e+01,1.894341324999999909e-01,1.743646772499999997e+00,5.306541803000000002e-01,4.487201956999999908e-01,7.872339600000000104e-03
2.671306519610000052e+01,2.196353661839999916e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.270000000000000284e+01,4.637500000000000178e+00,6.307103240000000444e-02,1.799510497200000003e+00,5.785127481999999821e-01,2.376462128000000062e-01,4.491666499999999798e-03
2.486287333519999976e+01,2.605658147269999958e+01,1.267945158999999933e+02,4.257114850999999867e+00,7.182500000000000284e+01,-2.131018518999999944e+00,1.856658213999999862e-01,2.266373306799999821e+00,4.366397047999999725e-01,2.872773526999999882e-01,9.405392000000000266e-03
2.195967053660000090e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.584166666999999507e+01,1.058009258999999957e+01,7.375513640000000426e-02,2.588981498599999931e+00,5.892280827000000443e-01,3.857705929999999950e-01,2.466691400000000159e-03
2.202813558540000116e+01,2.394709793210000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.820000000000000284e+01,7.254166666999999791e+00,7.638204719999999726e-02,2.849546368099999949e+00,6.072660095999999896e-01,4.034111356000000259e-01,4.304906199999999905e-03
2.017096192980000069e+01,5.371887088870000326e+01,2.331352275000000063e+01,3.106040226999999820e+00,8.595000000000000284e+01,6.633333333000000387e+00,5.219981270000000062e-02,1.831605080599999935e+00,3.350764828000000195e-01,4.644866642000000101e-01,5.864409600000000319e-03
2.632485829290000012e+01,2.648849556280000073e+01,3.921009372000000326e+01,1.623797929999999945e-01,9.345833333000000209e+01,6.105555555999999662e+00,1.748638727000000059e-01,2.703088623300000215e+00,5.105785721000000166e-01,4.266113539999999982e-01,9.191124300000000705e-03
2.668037402810000103e+01,0.000000000000000000e+00,1.332220330000000104e+02,7.012268884000000071e+02,4.394166666999999649e+01,1.540185184999999990e+01,1.841072111000000011e-01,1.680762501500000061e+00,4.156699944000000202e-01,2.698401590999999766e-01,9.099594699999999717e-03
2.622944035060000090e+01,0.000000000000000000e+00,1.623530011999999942e+02,5.667575280999999450e+02,4.217499999999999716e+01,1.669120369999999909e+01,1.604216445999999963e-01,2.686525526000000053e+00,3.156578385000000098e-01,1.898557529000000077e-01,8.807840399999999209e-03
2.099258045690000074e+01,7.735878540899999933e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.009999999999999432e+01,3.785185185000000008e+00,1.598566916999999976e-01,2.220828894599999881e+00,3.680268789999999735e-01,2.689153562000000108e-01,2.764577500000000004e-03
2.320992507820000128e+01,2.662020843659999869e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.880833333000000351e+01,-9.568055555000000822e+00,1.228971519000000012e-01,2.245250917199999918e+00,4.413620666999999997e-01,1.843263330999999894e-01,6.781442399999999641e-03
2.589857861999999855e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.720000000000000284e+01,1.034398148000000006e+01,8.028801380000000210e-02,2.730815839999999994e+00,2.803154994000000011e-01,2.598367180000000221e-01,5.604150500000000187e-03
2.286750452220000085e+01,1.824469873430000177e+01,6.129036179999999945e+01,6.029269259000000147e+02,5.682500000000000284e+01,1.072453703999999952e+01,2.090261814999999912e-01,2.964851700900000164e+00,3.457617033000000006e-01,3.693419299999999850e-01,9.332324300000000017e-03
2.314958520540000109e+01,2.110160679739999878e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.805833332999999641e+01,1.535648147999999935e+00,1.619143691999999912e-01,2.628337583400000010e+00,5.119267441999999502e-01,2.235096733999999974e-01,2.131331299999999866e-03
2.323036905000000019e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.798333332999999357e+01,1.222175926000000068e+01,2.364433202000000012e-01,2.457960630300000116e+00,4.185870503999999936e-01,1.984543005000000138e-01,2.802924100000000075e-03
2.212928570089999880e+01,1.556091169019999931e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.067499999999999716e+01,1.278703703999999997e+00,2.154954547000000054e-01,2.031450784600000059e+00,6.374844865000000027e-01,3.837598159000000231e-01,2.255282400000000083e-03
2.685479960969999880e+01,0.000000000000000000e+00,7.450165950999999609e+01,3.915006571999999778e+02,4.368333333000000351e+01,1.199351852000000029e+01,8.559273330000000124e-02,2.709829249099999782e+00,3.039667207999999787e-01,1.549753442000000037e-01,2.175762199999999990e-03
2.147733983879999897e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.156666547000000378e+01,1.302638913999999914e+01,7.224884410000000090e-02,2.852440155900000107e+00,5.060092175000000525e-01,3.369971981000000061e-01,5.630419600000000427e-03
2.350512262339999836e+01,3.906209523199999811e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.085833333000000067e+01,8.796296295999999515e+00,2.056012584999999948e-01,2.420922354700000056e+00,5.190890054000000253e-01,2.642166752999999813e-01,8.730820999999999721e-03
2.678719603109999881e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.086666667000000075e+01,1.039444443999999912e+01,2.914175439000000201e-01,2.488256557500000188e+00,5.448515700999999600e-01,3.349390266999999755e-01,2.690013099999999813e-03
2.203868747599999978e+01,3.614073538640000294e+01,1.309767831000000058e+02,4.664020804999999825e+01,6.474166667000000075e+01,2.170833333000000032e+00,2.319560437000000030e-01,2.091473484000000216e+00,2.721881476999999938e-01,2.543335331000000088e-01,6.282830799999999938e-03
2.482780679069999863e+01,1.035080316300000014e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.326666667000000643e+01,1.222222222000000080e+00,1.787717994999999949e-01,2.827098711500000139e+00,2.642227292000000061e-01,2.020148391000000099e-01,8.128209000000000822e-03
2.388631714810000162e+01,1.750377852689999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.611666667000000075e+01,-6.629629630000000162e-01,1.372140004000000080e-01,2.531074238700000034e+00,5.633192882999999984e-01,1.856039740000000049e-01,7.857703000000000604e-03
2.291573542040000078e+01,2.241993931689999897e+01,1.486528548999999977e+01,1.174128367000000006e+00,8.163333332999999925e+01,4.387962962999999661e+00,1.315234574999999961e-01,2.892795170899999935e+00,3.624504652000000160e-01,3.323200876999999887e-01,8.648743199999999604e-03
2.115812977310000065e+01,8.083019008400000871e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.012500000000000000e+01,3.811111111000000218e+00,1.761658252999999952e-01,2.251274887300000138e+00,6.043911932000000098e-01,4.195980241999999749e-01,7.034988800000000105e-03
2.203316257439999859e+01,1.995758930450000079e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.885833332999999357e+01,7.556481480999999611e+00,1.344300421000000079e-01,1.881261878499999929e+00,2.955340909999999988e-01,4.315140749999999970e-01,9.374929100000000196e-03
2.339010896119999927e+01,1.248912183849999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.148333332999999357e+01,3.619907406999999910e+00,2.654510171000000196e-01,2.000958179499999989e+00,2.822424848999999791e-01,2.511251736999999817e-01,7.929963800000000215e-03
2.481584258379999852e+01,0.000000000000000000e+00,1.576696182000000022e+02,3.971483381000000090e+00,6.350000000000000000e+01,1.294861110999999987e+01,2.866001719999999864e-01,1.647063025900000088e+00,2.911515570000000053e-01,4.428680118000000165e-01,8.940169200000000482e-03
2.550541809239999935e+01,0.000000000000000000e+00,1.587710011000000065e+02,7.050333273999999619e+02,5.751666666999999933e+01,1.496898148000000006e+01,1.803566467999999923e-01,2.595543433100000019e+00,2.874992177999999843e-01,4.711868433999999994e-01,7.024923199999999826e-03
2.293570948669999865e+01,1.650186646350000075e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00,1.541138585000000061e-01,2.832592597200000117e+00,4.557714139999999858e-01,4.452680755999999795e-01,5.155486899999999796e-03
2.354036683369999849e+01,9.175810419299999410e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.994166667000000359e+01,6.369444445000000066e+00,2.830806267000000043e-01,1.576326231199999928e+00,2.520078386999999864e-01,3.780986007000000093e-01,5.497035600000000147e-03
2.111110145379999992e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.728333333000000493e+01,1.375601851999999958e+01,1.058693453000000007e-01,1.729979243899999908e+00,3.848054598000000270e-01,4.975332778000000067e-01,1.205042199999999987e-03
2.239629324830000101e+01,3.797740832680000267e+01,1.304903520999999955e+02,5.573062137000000149e+01,7.062500000000000000e+01,1.656018519000000078e+00,1.787717994999999949e-01,2.827098711500000139e+00,2.642227292000000061e-01,2.020148391000000099e-01,8.128209000000000822e-03
2.533965126700000070e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.549166667000000075e+01,1.517407408000000046e+01,7.835742830000000381e-02,1.531468466299999998e+00,5.483463785000000090e-01,4.306397913000000188e-01,8.329470300000000813e-03
2.274095427250000157e+01,9.283880474800000115e+00,2.422070758000000126e+02,4.157813248000000073e+01,5.508333333000000209e+01,9.988425925999999677e+00,1.488375242999999959e-01,2.647383492899999968e+00,4.641131360999999900e-01,4.068061654999999832e-01,4.068484899999999689e-03
2.205596783489999879e+01,3.568023113969999827e+01,1.966656585000000064e+02,1.703429213999999945e+02,8.370000000000000284e+01,5.861111110000000179e-01,2.849807330999999944e-01,2.571838309499999919e+00,4.281769870000000089e-01,2.564347685999999737e-01,3.194250000000000041e-03
