# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
1.827639733000000177e+01,4.852230748000000204e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.979166666999999791e+01,7.708333330000000094e-01
2.064964056000000170e+01,8.095114558000000216e+01,2.228795900999999802e+00,2.144761233000000100e+00,8.491666666999999791e+01,-3.253240740999999936e+00
2.103284385999999984e+01,2.391148278000000005e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.676666666999999933e+01,2.219444444000000072e+00
2.090568902000000051e+01,7.603998586000000159e+01,1.985338532000000100e+01,7.652476638999999636e+00,4.436666667000000075e+01,4.048611110999999596e+00
2.098509686999999957e+01,3.750052460000000032e+00,1.029222397000000058e+02,9.205361895999999433e+02,4.104166666999999791e+01,4.375000000000000000e-01
2.159764516999999984e+01,2.387087792999999891e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.316666666999999791e+01,2.351851849999999911e-01
2.583500154000000038e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.419166666999999649e+01,1.992546296000000083e+01
2.291624493000000129e+01,5.278889603999999736e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.875833332999999925e+01,1.020509258999999957e+01
1.955530600999999891e+01,4.079484328000000204e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.250000000000000000e+01,-1.150231482000000049e+01
2.458035122000000072e+01,2.942733211000000182e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.119166666999999649e+01,1.663194444999999888e+01
1.886249589000000171e+01,2.281122342999999830e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.881666667000000359e+01,-5.031018518999999856e+00
2.324262621000000095e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.138333332999999925e+01,1.150324074000000074e+01
2.194767828999999892e+01,2.567140695000000150e+01,7.339292589999999450e+01,7.027493319000000156e+02,7.250833332999999925e+01,7.006084482000000335e+00
2.406118353000000099e+01,1.394216974000000109e+00,1.311363110000000063e+02,7.817561570000000302e+02,2.925833332999999925e+01,1.410138889000000084e+01
2.206288218999999984e+01,3.121003598000000068e+01,4.733761032000000313e+00,9.035971609999999821e-01,7.320833333000000209e+01,1.990740699999999849e-02
2.252732835000000122e+01,0.000000000000000000e+00,7.204683583999999996e+01,2.092031069999999993e-01,5.732500000000000284e+01,1.359999999999999964e+01
2.240431158999999894e+01,1.461205202000000014e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.790833333000000493e+01,8.425462962999999306e+00
2.347063787000000090e+01,0.000000000000000000e+00,9.812929076999999722e+01,3.110380746000000158e+02,8.461666667000000075e+01,1.637083332999999996e+01
2.213231002999999930e+01,1.812083948000000078e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.690833333000000493e+01,2.085648148000000202e+00
1.977844829000000004e+01,3.093373369000000039e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.474166667000000075e+01,1.175000000000000044e+00
2.127529078999999967e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.387500000000000000e+01,1.161898148000000042e+01
2.281418499999999838e+01,4.056756965000000292e+01,7.161706196999999996e+00,9.380391351000000100e+01,4.309166667000000217e+01,-7.773148149999999923e-01
1.990286139000000176e+01,3.519575602999999830e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.686666667000000075e+01,4.406944444999999710e+00
2.363337141999999957e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.492499999999999716e+01,1.509259259000000064e+01
2.366165734000000143e+01,2.723185908000000044e+00,1.113778405000000049e+02,7.925518878000000313e+02,5.142499999999999716e+01,1.081620370000000086e+01
2.215311540000000079e+01,7.979936709000000405e+00,1.024201024000000046e+02,1.062232611999999961e+02,8.642499999999999716e+01,7.201388889000000404e+00
2.269308737000000065e+01,3.973974494000000135e+01,4.914007720000000035e+01,9.651035780000000175e-01,9.814166667000000643e+01,6.945370371000000098e+00
2.419231106000000153e+01,0.000000000000000000e+00,8.283785299999999552e+01,9.809547410000000189e-01,9.049166667000000075e+01,1.361574073999999968e+01
2.196732450000000014e+01,2.940375051999999911e+01,3.232219428000000221e+02,9.608497013000000209e+01,5.946666667000000217e+01,-1.085185185000000052e+00
2.277799986000000132e+01,5.613780530999999741e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00
2.200305419000000029e+01,1.873321956999999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.770000000000000284e+01,4.599999999999999645e+00
2.262909653999999904e+01,1.001240456000000023e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.806666667000000359e+01,1.890277777999999964e+00
2.060437728999999862e+01,1.892663809000000086e+01,2.399663341000000116e+01,2.391511819000000205e+00,7.648333332999999357e+01,4.319907406999999644e+00
2.090750999999999848e+01,2.382251596000000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.954166666999999791e+01,6.955092592999999823e+00
2.208774976000000123e+01,3.901106372999999650e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.075000000000000000e+01,-2.751851852000000154e+00
2.286612165000000019e+01,1.386729987000000053e+00,1.985829673000000071e+02,1.707423943000000008e+02,5.454999999999999716e+01,1.136898148000000042e+01
2.176708573000000158e+01,7.598582858000000329e+01,9.630863629999999453e-01,5.484929029999999761e-01,8.444166667000000359e+01,3.560648147999999846e+00
2.364695309000000023e+01,0.000000000000000000e+00,1.223222243000000020e+02,7.904099670999999994e+00,7.945833333000000209e+01,1.428981482000000014e+01
2.446170675999999844e+01,0.000000000000000000e+00,1.106061195999999995e+02,7.832287767000000258e+02,4.694166666999999649e+01,1.737129630000000091e+01
2.286235847000000021e+01,2.681398719999999969e+01,8.881121143999999390e+01,3.489518820999999882e+00,8.997499999999999432e+01,2.114351851999999976e+00
2.117357681000000014e+01,2.689393770999999944e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.277500000000000568e+01,4.874999999999999889e-01
