IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
22.65048747,30.18609395,169.5122926,61.34909435,68.8,-8.79537037
22.64421272,24.54759447,130.1425176,592.1010243,66.8,-8.416203704
22.64031409,51.78159102,121.5711564,605.7633587,65.05,-8.199074074
22.91983646,44.23085346,97.75661851,671.9858275,62.15,-8.291203704
22.81664524,41.48163357,88.57046107,121.4052216,62.4,-8.612037037
22.62269262,71.2576673,25.91853601,197.6367204,63.625,-8.793518518
22.76964146,48.68992249,0,0,64.56666667,-9.151388889
22.78640657,62.95445028,0,0,66.23333333,-9.525462963
22.7900603,56.04279427,0,0,67.03333333,-9.781944444
22.49237002,5.879538755,0,0,67.71666667,-9.960185184
21.42847052,27.50180233,0,0,68.95833333,-10.13101852
20.69766164,33.16426158,0,0,71.84166667,-10.54398148
20.21183592,35.33308525,0,0,71.95833333,-10.98472222
19.90202523,38.6353599,0,0,73.29166667,-11.16111111
19.70890022,39.99386186,0,0,72.325,-11.29351852
19.55530601,40.79484328,0,0,72.5,-11.50231482
19.44563531,40.72652349,0,0,72.48333333,-11.59259259
19.34035139,42.18774461,0,0,72.30833333,-11.7462963
19.2543313,43.02851704,0,0,74.1,-11.99490741
19.21837716,42.31074166,0,0,75.15833333,-11.83333333
19.18627364,44.88605518,0,0,74.06666667,-11.79722222
19.49686436,80.19663768,30.54817539,17.77732379,73.21666667,-11.47916667
20.53785634,68.99876468,78.54529547,339.6435873,74.65,-10.69537037
21.72874611,64.57150578,138.2724971,321.3062093,72.34166667,-9.023611111
22.82107201,36.55827637,115.5014828,648.5718802,70.11666667,-8.460185185
22.83829382,35.9958985,102.6114878,739.5680939,68.675,-8.775925926
22.64840548,67.60046683,138.197825,73.1911646,65.54166667,-8.529166666
22.75329829,46.87033598,101.3812287,20.61452062,65.95,-8.461111111
22.83242969,45.72042028,80.80075819,135.5945237,62.71666667,-8.081481481
22.70255184,75.37293249,28.34853988,75.90206062,61.50833333,-8.639351852
22.79599772,50.76708823,0,0,63.23333333,-8.989351852
22.57611732,73.03558838,0,0,62.10833333,-9.777777778
22.30019726,6.409173262,0,0,62.39166667,-10.26944445
21.04683442,34.47489842,0,0,65.16666667,-10.84583333
20.25042934,36.82100185,0,0,67.35833333,-11.25787037
19.77315032,40.22559678,0,0,69.63333333,-11.46574074
19.52608204,41.01247532,0,0,73.925,-11.66759259
19.31772898,42.84133634,0,0,76.75833333,-12.00925926
19.12807569,44.42952504,0,0,75.34166667,-11.98564815
18.94231789,46.07941498,0,0,75.23333333,-12.125
18.78690998,48.60052096,0,0,76.89166667,-12.39814815
18.66043365,47.96224421,0,0,78.25,-12.36435185
18.57297175,48.18963667,0,0,79.10833333,-12.4625
18.47883768,51.74762413,0,0,79.58333333,-12.44768519
18.41052125,49.53921733,0,0,79.3,-12.59583334
18.72143736,80.35730209,48.761089,990.0361228,78.1,-12.34305556
19.84164619,68.20735196,64.90447594,629.0989577,73.9,-11.66111111
20.85397372,66.42314893,100.4434765,588.6401102,69.175,-10.75925926
21.59869626,65.57983933,137.4598796,433.9253581,63.29166667,-9.863425926
22.13048135,65.89606597,175.9034402,332.986666,59.625,-9.20462963
22.57731642,66.34023262,163.411723,251.036224,57.09166667,-8.892592592
22.78524115,54.74429038,122.8593471,417.1193028,55.49166667,-8.361111111
22.74297818,55.13059519,59.6613135,601.505052,54.54166667,-8.486111111
22.73659955,57.67077262,19.72949087,852.8281645,54.93333333,-8.954166667
22.56245791,71.38574816,0,0,57.40833333,-9.384722222
22.58940708,64.43404911,0,0,58.80833333,-9.568055555
22.09975315,9.410991133,0,0,58.775,-9.725462963
20.87487562,32.51123273,0,0,59.65833333,-9.851388889
20.20225495,36.86412539,0,0,61.2,-10.475
19.75834172,39.51944964,0,0,63.24166667,-11.2337963
19.47139928,42.05340533,0,0,64.79166667,-11.6837963
19.30699359,43.69711893,0,0,67.13333333,-11.96342593
19.15459024,43.30623842,0,0,69.075,-12.04583333
19.03073529,46.81002599,0,0,70.69166667,-12.03981481
18.95471278,44.84529119,0,0,72.48333333,-12.33657407
18.92712208,46.88313927,0,0,72.43333333,-11.52685185
18.90261033,44.89212154,0,0,71.56666667,-11.42731482
18.84214922,48.07611751,0,0,72.45833333,-11.21898148
19.16870563,79.79194025,0,0,72.36666667,-10.86018518
20.00113609,69.77314488,21.40293151,7.78041555,71.58333333,-10.27685185
20.65579018,67.05020162,66.54231754,10.96570086,71.56666667,-9.408333333
21.26854106,65.99691666,120.7876902,24.40893345,67.575,-8.130092592
22.05010843,64.55067036,166.5400337,40.52608677,62.675,-7.028703704
22.77721643,49.64450099,188.1279647,79.24777793,57.1,-5.386574074
23.03744323,33.19495322,173.7078464,267.2695213,49.825,-3.878703704
23.05668175,32.4553808,94.43543741,614.1026923,44.35833333,-2.363425926
22.84538099,43.88642483,88.80751542,180.0773275,43.61666667,-1.984259259
22.84962237,38.46604996,30.53810698,93.51252964,44.5,-1.697222222
22.71694111,72.26613269,0,0,44.98333333,-1.760185185
22.9248455,31.62341674,0,0,45.41666667,-2.186574074
22.81076343,60.08627985,0,0,45.95,-2.384722222
22.71108618,5.342988332,0,0,45.825,-2.411574074
21.75740014,26.28560363,0,0,47.03333333,-2.508333333
21.21859744,28.36046637,0,0,48.85833333,-2.624537037
20.88184524,29.36532692,0,0,49.275,-2.661111111
20.64877919,31.78808108,0,0,48.33333333,-2.431018519
20.42912578,33.73703772,0,0,45.88333333,-1.94537037
20.25094468,34.62848477,0,0,42.94166667,-1.317592593
20.14813548,35.69981796,0,0,42.90833333,-0.878703704
20.15667036,35.62427083,0,0,46.75,-0.843055556
20.06976168,33.84902258,0,0,81.14166667,-2.735185185
19.9521312,36.69742885,0,0,89.50833333,-2.691666667
20.21675715,74.41716089,0,0,90.91666667,-1.791203704
21.22601586,66.94880989,21.77303208,5.970943935,89.28333333,-0.678703704
22.23723924,64.47793956,66.61261802,12.31271967,84.66666667,0.359259259
23.00777465,22.92001687,69.03467968,2.962912201,76.825,1.651388889
