# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.312524523991530145e+01,2.149364696203529945e+01,1.887134158000000070e+02,1.164397355999999917e+02,6.379166666999999791e+01,1.830092593000000045e+00,3.691841888829999618e+01,1.000000000000000000e+00,4.917973811873119910e-03,7.056881098941396431e+02,1.674276763258577105e+00,1.310999833284062221e-01
2.273363118670109984e+01,1.695767901478939876e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.561666667000000075e+01,4.783333332999999854e+00,3.234281253329999828e+01,1.000000000000000000e+00,3.103778468602168099e-03,8.187114569991567805e+02,1.692167381878901811e+00,5.843053507267008395e-02
2.218386177098010137e+01,5.087603558377960411e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.355833332999999641e+01,8.952314814999999371e+00,2.704380840829999855e+01,1.000000000000000000e+00,4.708869052577426863e-03,6.103070778440498998e+02,1.311039750189650244e+00,1.029321486072002079e-01
2.315485729849629948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.945000000000000284e+01,1.738657407000000177e+01,2.381128219580000049e+01,0.000000000000000000e+00,2.647207740244612514e-03,8.426580793153965487e+02,1.434429940480995702e+00,1.153152575037703909e-01
2.367085960973399850e+01,0.000000000000000000e+00,2.053400428000000204e+02,4.155360621000000378e+02,5.931666666999999649e+01,2.043101851999999852e+01,2.367320120420000151e+01,0.000000000000000000e+00,2.885388626613707985e-03,3.791948990636717554e+02,1.268769458012179774e+00,2.927458162355989768e-01
2.160197124694650128e+01,4.936344430730950084e-01,1.167517310000000066e+02,5.810471211000000267e+02,4.300833332999999925e+01,1.184722222000000080e+01,2.247192386580000090e+01,1.000000000000000000e+00,3.436001538390674216e-03,8.452604674981239441e+02,1.219229010415731507e+00,1.746717134654330872e-01
2.219657249716259884e+01,1.002253745293799980e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.109166667000000217e+01,2.143518519999999816e-01,2.269581831920000070e+01,1.000000000000000000e+00,3.984294276101854257e-03,6.884399455253512770e+02,1.471197551397200876e+00,8.310275764942735843e-02
2.489570157496540048e+01,0.000000000000000000e+00,1.990457801000000018e+02,3.210562156000000300e+02,5.530833333000000351e+01,2.046157407000000106e+01,2.445974216169999949e+01,0.000000000000000000e+00,2.397796738045944454e-03,5.985661685846591809e+02,1.637025431276780463e+00,2.135381685470186253e-01
2.318507533394780040e+01,6.791133345783829611e+01,9.911801135999999701e+01,2.540014665999999863e+02,8.251666667000000643e+01,-1.054166667000000057e+00,6.509089999920000480e+01,1.000000000000000000e+00,2.501662177015833398e-03,8.006601191546427572e+02,1.520604282697370913e+00,1.495353297773675538e-01
2.201792499904919964e+01,3.002894362982230092e+01,1.311637019999999865e+01,8.591388152999998695e+00,7.051666667000000643e+01,-1.842129630000000073e+00,4.382502449079999707e+01,1.000000000000000000e+00,1.176209936838793282e-03,5.816140786206528901e+02,1.309084131121081240e+00,4.810481484613399195e-02
2.154676383786160088e+01,2.702087521762850031e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.395000000000000284e+01,-3.305555560000000281e-01,4.010654916749999899e+01,1.000000000000000000e+00,1.658029236137629949e-03,3.671868875213640422e+02,1.488353596742550300e+00,1.141890228826274861e-02
2.289885222371389872e+01,3.753588879417339985e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.912500000000000000e+01,5.998148147999999402e+00,1.907736133330000072e+01,1.000000000000000000e+00,4.793609426522707669e-03,3.871152846333105799e+02,1.657158819173924602e+00,6.111426508982446132e-02
2.044966898556430124e+01,3.871357396860479838e+01,1.644723211999999890e+01,1.038964243999999981e+00,9.821666666999999507e+01,2.629629630000000162e+00,5.565748513919999851e+01,1.000000000000000000e+00,1.675439034404855188e-03,2.919202032411939740e+02,1.686611673154965851e+00,3.822028405362299514e-02
2.418289567779120119e+01,8.131605404922819247e+00,1.008861029000000116e+02,9.369778185000000121e+02,5.435833333000000067e+01,3.531481481000000144e+00,2.713505649580000068e+01,1.000000000000000000e+00,4.854050160588961778e-03,3.124929504738755099e+02,1.606740892362930273e+00,1.555921218127025857e-02
2.230897383756720131e+01,2.133070083208970047e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.209166666999999507e+01,1.205324073999999968e+01,3.071281798080000058e+01,1.000000000000000000e+00,1.518756680930412979e-03,9.861496451231035962e+02,1.648470147888595694e+00,1.726372644375614440e-01
2.350483504973599835e+01,7.076782767562029619e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00,5.863323055669999917e+01,1.000000000000000000e+00,2.364428052990825285e-03,2.155904227804984430e+02,1.659045652520132474e+00,2.591730854628634395e-01
2.196434858526459877e+01,1.664435482994170101e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.979999999999999716e+01,4.697222221999999725e+00,3.410042987829999817e+01,1.000000000000000000e+00,2.416715696813650886e-03,5.063679046408387876e+02,1.445952811830135687e+00,1.008431921075684939e-01
2.054858934980349972e+01,2.932453676216499971e+01,2.674644143000000085e+01,8.733994659999999577e-01,6.983333333000000209e+01,-3.564814799999999756e-02,6.446624902749999819e+01,1.000000000000000000e+00,4.827450245720819183e-03,8.592328618517385621e+02,1.122791507930099408e+00,1.207046590824595172e-01
