# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.381833222714260145e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.611666667000000075e+01,2.293981481999999872e+01,2.533619961579999824e+01,0.000000000000000000e+00,4.037910939761508652e-03,9.546240629179376356e+02,1.226437256355088046e+00,2.252679144562485386e-02
2.093025949169360089e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.408333333000000209e+01,6.009259258999999354e+00,3.340500954170000369e+01,1.000000000000000000e+00,3.798540430933049217e-03,9.329271578197684676e+02,1.251855506955083186e+00,1.852382751398718441e-01
1.219911428869150072e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.790000000000000568e+01,2.109722221999999814e+00,3.145856624420000003e+01,1.000000000000000000e+00,1.824595717907360982e-03,2.051256712808457507e+02,1.249918692553785071e+00,2.298438825507010952e-01
2.320159616135860148e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.563333332999999925e+01,-1.268518518000000039e+00,4.777718037079999647e+01,1.000000000000000000e+00,4.532611918844395293e-03,8.812361718995508681e+02,1.697197119043470703e+00,2.228890966872830448e-01
1.492826163187380040e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.790000000000000568e+01,2.109722221999999814e+00,3.145856624420000003e+01,1.000000000000000000e+00,3.011370173799968533e-03,3.828021908253442689e+02,1.563343703657126715e+00,8.971546212490258410e-02
1.503807415055119989e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.860833332999999357e+01,4.529629629999999629e+00,3.350879483250000135e+01,1.000000000000000000e+00,2.848425659497415795e-03,5.680983693012983622e+02,1.437444582624876066e+00,1.127058747979942654e-01
1.878601663551850010e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.881666667000000359e+01,-5.031018518999999856e+00,3.143190371420000062e+01,1.000000000000000000e+00,2.501662177015833398e-03,8.006601191546427572e+02,1.520604282697370913e+00,1.495353297773675538e-01
2.235014131320199837e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.479999999999999716e+01,5.643981480999999967e+00,5.518039986080000148e+01,1.000000000000000000e+00,2.058888128503128315e-03,6.255344928206422992e+02,1.678090893195685052e+00,2.160624888636574481e-01
1.601382773832999984e+00,3.796736796999999797e+01,2.349487031999999864e+00,6.311666667000000075e+01,1.406666667000000004e+01,2.226693959250000177e+01,1.666666666999999935e-01,1.852672079947059042e-03,2.309456351406304293e+02,1.316587711206065547e+00,1.620800857636898462e-01
2.947491038847469991e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.164166666999999933e+01,7.689814815000000081e+00,2.095325018000000128e+01,1.000000000000000000e+00,3.155599650884892242e-03,3.852563772083410640e+02,1.528196510677727105e+00,6.267162980161829211e-02
3.884633463256589891e+01,2.441598519999999795e+01,4.134369023000000531e+00,8.404999999999999716e+01,-9.814814800000000450e-02,6.497891245419999962e+01,1.000000000000000000e+00,4.272041376591428907e-03,7.164625834669868709e+02,1.204438536718637653e+00,2.877083005605031163e-01
2.244719885114770008e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.269166667000000359e+01,3.905555556000000372e+00,3.278638241170000356e+01,1.000000000000000000e+00,2.049039644090431492e-03,5.160831528495831435e+02,1.560361348708395157e+00,7.687925119218914916e-02
9.717042303176720353e+00,5.828790629999999595e+01,1.113083325000000023e+01,6.026666666999999933e+01,1.330416667000000075e+01,3.111155624079999882e+01,1.000000000000000000e+00,1.927252619654015774e-03,4.328405843577783685e+02,1.328476855329526307e+00,4.955617313630956977e-02
1.973901613678760114e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,-2.823148148000000024e+00,3.623580438829999650e+01,1.000000000000000000e+00,1.705303850815381283e-03,2.762135249710030394e+02,1.145096020222331479e+00,8.562612416474325860e-02
2.072961825560820159e+01,5.752381582999999132e+00,7.324327670000000401e-01,7.745000000000000284e+01,-2.020370370000000193e+00,3.777399711830000228e+01,1.000000000000000000e+00,2.969466051096743189e-03,9.145501043476036784e+02,1.619998084014943274e+00,1.538110156527011940e-01
2.239500035360079977e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.691666666999999791e+01,1.531481481999999783e+00,3.552412423250000018e+01,1.000000000000000000e+00,2.904950149537445687e-03,3.459000597639321768e+02,1.591683661259200466e+00,1.804895251542102119e-01
0.000000000000000000e+00,2.031635789999999986e+02,6.662031690999999967e+01,6.967499999999999716e+01,1.258750000000000036e+01,2.113872685169999954e+01,0.000000000000000000e+00,1.396587270688910004e-03,6.843598576919166590e+02,1.663562074133464908e+00,2.949814774977632670e-01
