,F,C,sim results
2017-01-01T22:30:00Z,73.148,22.86,24.79510664
2017-01-01T22:35:00Z,73.08293,22.82385,24.70259702
2017-01-01T22:40:00Z,73.04,22.8,24.61762937
2017-01-01T22:45:00Z,72.968,22.76,24.53976857
2017-01-01T22:50:00Z,72.93452,22.7414,24.46803377
2017-01-01T22:55:00Z,72.896,22.72,24.39697082
2017-01-01T23:00:00Z,72.82599,22.68110556,24.32534312
2017-01-01T23:05:00Z,72.80968,22.67204444,24.25513292
2017-01-01T23:10:00Z,72.90637,22.72576111,24.19365218
2017-01-01T23:15:00Z,73.02127,22.78959444,24.13116662
2017-01-01T23:20:00Z,73.19189,22.88438333,24.06485921
2017-01-01T23:25:00Z,73.37137,22.98409444,23.99901733
2017-01-01T23:30:00Z,73.555954,23.08664111,23.93414854
2017-01-01T23:35:00Z,73.7313,23.18405556,23.87071015
2017-01-01T23:40:00Z,73.832,23.24,23.81330961
2017-01-01T23:45:00Z,73.9389,23.29938889,23.76064186
2017-01-01T23:50:00Z,73.97013,23.31673889,23.7120927
2017-01-01T23:55:00Z,73.94,23.3,23.66772762
2017-01-02T00:00:00Z,73.904,23.28,23.62317562
2017-01-02T00:05:00Z,73.832,23.24,23.582292
2017-01-02T00:10:00Z,73.74817,23.19342778,23.54184299
2017-01-02T00:15:00Z,73.65931,23.14406111,23.50006548
2017-01-02T00:20:00Z,73.544,23.08,23.45730095
2017-01-02T00:25:00Z,73.4,23,23.41367221
2017-01-02T00:30:00Z,73.30053,22.94473889,23.3743037
2017-01-02T00:35:00Z,73.20742,22.89301111,23.33423186
2017-01-02T00:40:00Z,73.09394,22.82996667,23.29382912
2017-01-02T00:45:00Z,72.98091,22.76717222,23.25316047
2017-01-02T00:50:00Z,72.86,22.7,23.21217561
2017-01-02T00:55:00Z,72.716,22.62,23.16980662
2017-01-02T01:00:00Z,72.62992,22.57217778,23.12686503
2017-01-02T01:05:00Z,72.50411,22.50228333,23.08180597
2017-01-02T01:10:00Z,72.43252,22.46251111,23.03476698
2017-01-02T01:15:00Z,72.33434,22.40796667,22.98766609
2017-01-02T01:20:00Z,72.29174,22.3843,22.94378713
2017-01-02T01:25:00Z,72.22464,22.34702222,22.90612433
2017-01-02T01:30:00Z,72.13619,22.29788333,22.86821634
2017-01-02T01:35:00Z,72.10161,22.27867222,22.82807016
2017-01-02T01:40:00Z,72.03288,22.24048889,22.78604292
2017-01-02T01:45:00Z,72.0247,22.23594444,22.74104054
2017-01-02T01:50:00Z,71.90438,22.1691,22.69977094
2017-01-02T01:55:00Z,71.90744,22.1708,22.66085906
2017-01-02T02:00:00Z,71.852,22.14,22.61913209
2017-01-02T02:05:00Z,71.7872238,22.10401322,22.57483741
2017-01-02T02:10:00Z,71.72595,22.06997222,22.53084222
2017-01-02T02:15:00Z,71.6936951,22.05205283,22.49206461
2017-01-02T02:20:00Z,71.6711044,22.03950244,22.45616122
2017-01-02T02:25:00Z,71.564,21.98,22.41770736
2017-01-02T02:30:00Z,71.564,21.98,22.37831561
2017-01-02T02:35:00Z,71.54384,21.9688,22.34355756
2017-01-02T02:40:00Z,71.4829941,21.93499672,22.30819118
2017-01-02T02:45:00Z,71.492,21.94,22.27018838
2017-01-02T02:50:00Z,71.4268951,21.90383061,22.23433165
2017-01-02T02:55:00Z,71.384,21.88,22.20281603
2017-01-02T03:00:00Z,71.38848,21.88248889,22.17332938
2017-01-02T03:05:00Z,71.312,21.84,22.14170077
2017-01-02T03:10:00Z,71.312,21.84,22.10634058
2017-01-02T03:15:00Z,71.312,21.84,22.06903762
2017-01-02T03:20:00Z,71.29095,21.82830556,22.03187009
2017-01-02T03:25:00Z,71.24,21.8,21.99603614
2017-01-02T03:30:00Z,71.26623,21.81457222,21.95794539
2017-01-02T03:35:00Z,71.25896,21.81053333,21.91692616
2017-01-02T03:40:00Z,71.23566,21.79758889,21.87332908
2017-01-02T03:45:00Z,71.168,21.76,21.83423504
2017-01-02T03:50:00Z,71.15005,21.75002778,21.79428637
2017-01-02T03:55:00Z,71.15719,21.75399444,21.75114028
2017-01-02T04:00:00Z,71.1179047,21.73216928,21.71040999
2017-01-02T04:05:00Z,71.08776,21.71542222,21.67068425
2017-01-02T04:10:00Z,71.06,21.7,21.63079706
2017-01-02T04:15:00Z,71.03834,21.68796667,21.5887999
2017-01-02T04:20:00Z,71.024,21.68,21.5475064
2017-01-02T04:25:00Z,71.024,21.68,21.50718454
2017-01-02T04:30:00Z,70.96995,21.64997222,21.46688311
2017-01-02T04:35:00Z,70.9953461,21.66408117,21.42727067
2017-01-02T04:40:00Z,71.0200958,21.677831,21.39062191
2017-01-02T04:45:00Z,70.9628448,21.64602489,21.35777787
2017-01-02T04:50:00Z,70.9750443,21.65280239,21.32351403
2017-01-02T04:55:00Z,70.952,21.64,21.2878846
2017-01-02T05:00:00Z,70.916,21.62,21.25142196
2017-01-02T05:05:00Z,70.89791,21.60995,21.21309041
2017-01-02T05:10:00Z,70.89434,21.60796667,21.17392054
2017-01-02T05:15:00Z,70.8944,21.608,21.13418375
2017-01-02T05:20:00Z,70.89495,21.60830556,21.0982717
2017-01-02T05:25:00Z,70.91332,21.61851111,21.06536448
2017-01-02T05:30:00Z,70.86426,21.59125556,21.03539541
2017-01-02T05:35:00Z,70.88,21.6,20.99983018
2017-01-02T05:40:00Z,70.87039,21.59466111,20.96030846
2017-01-02T05:45:00Z,70.88,21.6,20.92752768
2017-01-02T05:50:00Z,70.8727951,21.59599728,20.89509337
2017-01-02T05:55:00Z,70.88,21.6,20.86322423
2017-01-02T06:00:00Z,70.80694,21.55941111,20.83130428
2017-01-02T06:05:00Z,70.808,21.56,20.79910548
2017-01-02T06:10:00Z,70.75395,21.52997222,20.76604682
2017-01-02T06:15:00Z,70.76466,21.53592222,20.73438905
2017-01-02T06:20:00Z,70.808,21.56,20.70237295
2017-01-02T06:25:00Z,70.76518,21.53621111,20.66932438
2017-01-02T06:30:00Z,70.77156,21.53975556,20.63703297
2017-01-02T06:35:00Z,70.77092,21.5394,20.60375428
2017-01-02T06:40:00Z,70.7,21.5,20.56838132
2017-01-02T06:45:00Z,70.6687851,21.48265839,20.53411686
2017-01-02T06:50:00Z,70.7,21.5,20.49928513
2017-01-02T06:55:00Z,70.628,21.46,20.46449827
2017-01-02T07:00:00Z,70.592,21.44,20.4294306
2017-01-02T07:05:00Z,70.592,21.44,20.39482962
2017-01-02T07:10:00Z,70.5632858,21.42404767,20.3624665
2017-01-02T07:15:00Z,70.5277252,21.40429178,20.32921765
2017-01-02T07:20:00Z,70.54341,21.41300556,20.29961255
2017-01-02T07:25:00Z,70.52,21.4,20.27245684
2017-01-02T07:30:00Z,70.52,21.4,20.2422223
2017-01-02T07:35:00Z,70.4981842,21.38788011,20.20964904
2017-01-02T07:40:00Z,70.5243,21.40238889,20.17568952
2017-01-02T07:45:00Z,70.5543,21.41905556,20.14534616
2017-01-02T07:50:00Z,70.52,21.4,20.11820456
2017-01-02T07:55:00Z,70.52,21.4,20.09384899
2017-01-02T08:00:00Z,70.484,21.38,20.07549438
2017-01-02T08:05:00Z,70.484,21.38,20.06693302
2017-01-02T08:10:00Z,70.484,21.38,20.06780129
2017-01-02T08:15:00Z,70.484,21.38,20.07901572
2017-01-02T08:20:00Z,70.4588547,21.36603039,20.10169392
2017-01-02T08:25:00Z,70.484,21.38,20.13490719
2017-01-02T08:30:00Z,70.4406738,21.35592989,20.1771862
2017-01-02T08:35:00Z,70.3999252,21.33329178,20.22529825
2017-01-02T08:40:00Z,70.448,21.36,20.27536334
2017-01-02T08:45:00Z,70.47374,21.3743,20.32785173
2017-01-02T08:50:00Z,70.41899,21.34388333,20.38135122
2017-01-02T08:55:00Z,70.45996,21.36664444,20.43705954
2017-01-02T09:00:00Z,70.45532,21.36406667,20.49630455
2017-01-02T09:05:00Z,70.4612961,21.36738672,20.55292472
2017-01-02T09:10:00Z,70.40466,21.33592222,20.60815236
2017-01-02T09:15:00Z,70.41189,21.33993889,20.66191011
2017-01-02T09:20:00Z,70.448,21.36,20.71212097
2017-01-02T09:25:00Z,70.39763,21.33201667,20.75842496
2017-01-02T09:30:00Z,70.4072342,21.33735233,20.80356828
2017-01-02T09:35:00Z,70.44949,21.36082778,20.84595649
2017-01-02T09:40:00Z,70.41899,21.34388333,20.88709837
2017-01-02T09:45:00Z,70.42926,21.34958889,20.92533436
2017-01-02T09:50:00Z,70.44068,21.35593333,20.95486054
2017-01-02T09:55:00Z,70.385,21.325,20.98401585
2017-01-02T10:00:00Z,70.376,21.32,21.01853063
2017-01-02T10:05:00Z,70.39255,21.32919444,21.04892268
2017-01-02T10:10:00Z,70.3472,21.304,21.07240558
2017-01-02T10:15:00Z,70.376,21.32,21.09069421
2017-01-02T10:20:00Z,70.41934,21.34407778,21.102763
2017-01-02T10:25:00Z,70.484,21.38,21.1098911
2017-01-02T10:30:00Z,70.412,21.34,21.11219981
2017-01-02T10:35:00Z,70.448,21.36,21.11226136
2017-01-02T10:40:00Z,70.376,21.32,21.11081488
2017-01-02T10:45:00Z,70.448,21.36,21.10879673
2017-01-02T10:50:00Z,70.3871841,21.32621339,21.10517598
2017-01-02T10:55:00Z,70.448,21.36,21.10087321
2017-01-02T11:00:00Z,70.412,21.34,21.09492049
2017-01-02T11:05:00Z,70.44442,21.35801111,21.08800374
2017-01-02T11:10:00Z,70.4696655,21.37203639,21.08099892
2017-01-02T11:15:00Z,70.448,21.36,21.07274023
2017-01-02T11:20:00Z,70.448,21.36,21.06483481
2017-01-02T11:25:00Z,70.484,21.38,21.05594617
2017-01-02T11:30:00Z,70.484,21.38,21.04771123
2017-01-02T11:35:00Z,70.484,21.38,21.0354906
2017-01-02T11:40:00Z,70.484,21.38,21.02309309
2017-01-02T11:45:00Z,70.48885,21.38269444,21.00979674
2017-01-02T11:50:00Z,70.4918,21.38433333,20.99617444
2017-01-02T11:55:00Z,70.50195,21.38997222,20.98051338
2017-01-02T12:00:00Z,70.49883,21.38823889,20.96169733
2017-01-02T12:05:00Z,70.4959641,21.38664672,20.94433179
2017-01-02T12:10:00Z,70.628,21.46,20.9335425
2017-01-02T12:15:00Z,70.76302,21.53501111,20.93854468
2017-01-02T12:20:00Z,70.9204559,21.6224755,20.96426105
2017-01-02T12:25:00Z,71.096,21.72,21.00864311
2017-01-02T12:30:00Z,71.3129,21.8405,21.06983263
2017-01-02T12:35:00Z,71.456,21.92,21.14318079
2017-01-02T12:40:00Z,71.6864,22.048,21.22324877
2017-01-02T12:45:00Z,71.88513,22.15840556,21.31070467
2017-01-02T12:50:00Z,72.1595459,22.31085883,21.40280086
2017-01-02T12:55:00Z,72.43424,22.46346667,21.4991603
2017-01-02T13:00:00Z,72.6592,22.58844444,21.59997046
2017-01-02T13:05:00Z,72.86,22.7,21.70557063
2017-01-02T13:10:00Z,73.04,22.8,21.81420496
2017-01-02T13:15:00Z,73.184,22.88,21.9238942
2017-01-02T13:20:00Z,73.35685,22.97602778,22.03625186
2017-01-02T13:25:00Z,73.55885,23.08825,22.14950342
2017-01-02T13:30:00Z,73.7086258,23.17145878,22.26225973
2017-01-02T13:35:00Z,73.91316,23.28508889,22.3727568
2017-01-02T13:40:00Z,74.048,23.36,22.48403642
2017-01-02T13:45:00Z,74.192,23.44,22.59498781
2017-01-02T13:50:00Z,74.34117,23.52287222,22.70095163
2017-01-02T13:55:00Z,74.408,23.56,22.8075104
2017-01-02T14:00:00Z,74.4220657,23.56781428,22.91406595
2017-01-02T14:05:00Z,74.408,23.56,23.01928517
2017-01-02T14:10:00Z,74.37733,23.54296111,23.12601712
2017-01-02T14:15:00Z,74.33265,23.51813889,23.23719562
2017-01-02T14:20:00Z,74.30223,23.50123889,23.3504929
2017-01-02T14:25:00Z,74.3,23.5,23.46886354
2017-01-02T14:30:00Z,74.28569,23.49205,23.59166525
2017-01-02T14:35:00Z,74.228,23.46,23.71338104
2017-01-02T14:40:00Z,74.1204147,23.40023039,23.83079229
2017-01-02T14:45:00Z,74.012,23.34,23.94904672
2017-01-02T14:50:00Z,73.8918,23.27322222,24.05829288
2017-01-02T14:55:00Z,73.832,23.24,24.15576523
2017-01-02T15:00:00Z,73.72732,23.18184444,24.24366929
2017-01-02T15:05:00Z,73.65353,23.14085,24.3302299
2017-01-02T15:10:00Z,73.5965,23.10916667,24.41341285
2017-01-02T15:15:00Z,73.544,23.08,24.48904219
2017-01-02T15:20:00Z,73.50065,23.05591667,24.55756254
2017-01-02T15:25:00Z,73.472,23.04,24.61532659
2017-01-02T15:30:00Z,73.472,23.04,24.67001587
2017-01-02T15:35:00Z,73.4,23,24.71987906
2017-01-02T15:40:00Z,73.38565,22.99202778,24.76481922
2017-01-02T15:45:00Z,73.34816,22.9712,24.80721297
2017-01-02T15:50:00Z,73.328,22.96,24.84851886
2017-01-02T15:55:00Z,73.4,23,24.88851944
2017-01-02T16:00:00Z,73.53185,23.07325,24.92643293
2017-01-02T16:05:00Z,73.6962357,23.16457539,24.95847488
2017-01-02T16:10:00Z,73.76,23.2,24.99061788
2017-01-02T16:15:00Z,73.84547,23.24748333,25.01338842
2017-01-02T16:20:00Z,73.8665,23.25916667,25.03217268
2017-01-02T16:25:00Z,73.9112854,23.28404744,25.04800925
2017-01-02T16:30:00Z,73.87521,23.26400556,25.06296927
2017-01-02T16:35:00Z,73.876976,23.26498667,25.08100036
2017-01-02T16:40:00Z,73.904,23.28,25.09987119
2017-01-02T16:45:00Z,73.832,23.24,25.11454515
2017-01-02T16:50:00Z,73.76997,23.20553889,25.12555564
2017-01-02T16:55:00Z,73.736496,23.18694222,25.13126974
2017-01-02T17:00:00Z,73.688,23.16,25.13149336
2017-01-02T17:05:00Z,73.616,23.12,25.12958525
2017-01-02T17:10:00Z,73.616,23.12,25.1275428
2017-01-02T17:15:00Z,73.56426,23.09125556,25.12504398
2017-01-02T17:20:00Z,73.544,23.08,25.12228401
2017-01-02T17:25:00Z,73.48636,23.04797778,25.1259351
2017-01-02T17:30:00Z,73.51531,23.06406111,25.13080933
2017-01-02T17:35:00Z,73.472,23.04,25.13573592
2017-01-02T17:40:00Z,73.49423,23.05235,25.14083311
2017-01-02T17:45:00Z,73.4217,23.01205556,25.14282515
2017-01-02T17:50:00Z,73.42818,23.01565556,25.1411456
2017-01-02T17:55:00Z,73.42748,23.01526667,25.13568959
2017-01-02T18:00:00Z,73.3813,22.98961111,25.12480997
2017-01-02T18:05:00Z,73.3567,22.97594444,25.1131108
2017-01-02T18:10:00Z,73.328,22.96,25.10954605
2017-01-02T18:15:00Z,73.27312,22.92951111,25.11362613
2017-01-02T18:20:00Z,73.256,22.92,25.11930421
2017-01-02T18:25:00Z,73.25987,22.92215,25.11260302
2017-01-02T18:30:00Z,73.256,22.92,25.10055479
2017-01-02T18:35:00Z,73.256,22.92,25.08521137
2017-01-02T18:40:00Z,73.256,22.92,25.07278814
