# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
1.534562678149369930e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.035925925999999997e+01,8.483333333000000209e+01,-8.250925926000000743e+00,3.114166667000000075e+02,2.384213330000000131e-01,4.287625300919999916e+01,1.000000000000000000e+00,1.277513617848638483e-01,8.587050213984703806e-03,2.396119158124568660e+00,2.629961517268974425e-01,3.709444056013386160e+01,1.562453983142259029e-01
1.447266440893939965e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.768518499999999799e-02,7.618333332999999641e+01,3.850462963000000016e+00,2.725000000000000000e+02,3.390053329999999643e-01,2.808507731419999942e+01,1.000000000000000000e+00,1.274837971474819531e-01,2.922106394721512256e-03,2.438735379598852671e+00,3.631813341049445754e-01,9.786088574184644528e+01,2.974367358349557233e-01
2.000367298972109964e+01,4.183950659999999822e+00,6.179555057000000851e+00,-2.645833333000000120e+00,8.170000000000000284e+01,1.101851850000000049e-01,2.700000000000000000e+02,1.322493332999999938e+00,6.103249185079999961e+01,1.000000000000000000e+00,2.761994253841326685e-01,9.344337752413500731e-03,2.276333388390974655e+00,2.729342702847121771e-01,4.181264323127312821e+01,7.852519265816264304e-02
1.902986039554459907e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.055509258999999922e+01,5.727499999999999858e+01,-3.313888888999999782e+00,1.969166666999999791e+02,5.550746670000000771e-01,2.730047995829999863e+01,1.000000000000000000e+00,1.286893133573794035e-01,4.317361579918319557e-03,1.633155847133541450e+00,5.644308263660791081e-01,4.716316953223392261e+01,2.434293372043621617e-01
2.747386574671860160e+01,1.713416054999999858e+02,1.986936334000000137e+00,1.057777777999999991e+01,6.232500000000000284e+01,1.787222222000000116e+01,1.133333332999999925e+02,1.870117333000000048e+00,2.433897592579999980e+01,0.000000000000000000e+00,2.887449537926226051e-01,6.220333777911824999e-03,2.041374043491372969e+00,4.940657799134108297e-01,9.659635358101010638e+01,3.884995983005061493e-02
2.157167483906080108e+01,3.490065136000000123e+00,1.042608179000000135e+00,1.312962962999999927e+00,8.294166667000000359e+01,3.950462963000000105e+00,8.616666666999999791e+01,8.232986669999999840e-01,2.724247126420000242e+01,8.333333330000000649e-02,2.682826553415209592e-01,9.692685950708296305e-03,2.787331882439235020e+00,6.086149883872724597e-01,4.260722017859498578e+01,8.291336369499012482e-02
2.009462467807379937e+01,6.867780091999999570e+01,1.909813653000000144e+01,7.211111111000000129e+00,8.813333332999999925e+01,9.062500000000000000e+00,2.298333333000000209e+02,9.685866670000000678e-01,3.306334861079999854e+01,1.000000000000000000e+00,2.530650035743155501e-01,7.042443552766534595e-03,2.471909071204297703e+00,3.130334115376351978e-01,8.592686366914290375e+01,2.764870559099075892e-02
1.593679995798020066e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.274537036999999984e+00,8.652500000000000568e+01,-1.312962962999999927e+00,2.751666667000000075e+02,6.333066670000000453e-01,4.041409833419999842e+01,1.000000000000000000e+00,1.522076471962257038e-01,8.727185819430178376e-03,2.771061737775490919e+00,6.377690320918871780e-01,6.363138356658540573e+01,2.407474920157886555e-01
1.953972129742960107e+01,7.661604382000000157e+01,3.840026478000000054e+01,4.801851851999999532e+00,8.727500000000000568e+01,6.764814815000000259e+00,1.645000000000000000e+02,4.470400000000000068e-02,3.247315624920000232e+01,1.000000000000000000e+00,2.360920027591674186e-01,5.589126280046947254e-03,2.964335486443151702e+00,4.063431951850420276e-01,3.617533267773212913e+01,1.687396688772154485e-01
1.946275420476180074e+01,8.655716590000001531e+01,6.742884412000000793e+02,-1.102175925999999961e+01,6.980833332999999641e+01,-6.410185184999999564e+00,2.175000000000000000e+02,8.866293330000000195e-01,5.221852120249999984e+01,1.000000000000000000e+00,1.097061834168712030e-01,3.370724589942067275e-03,2.005087383601766859e+00,4.803464853669126011e-01,9.441382056456903626e+01,2.562508522758568108e-01
