# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.259173256000000052e+01,5.825327422000000155e+01,1.127590949000000080e+02,2.550908615999999824e+02,-1.014120370000000015e+01,5.739999999999999858e+01,-2.905555554999999845e+00,2.869166667000000075e+02,2.604008000000000322e+00,5.118311398080000174e+01,1.000000000000000000e+00
2.082323169999999735e+01,2.612249999999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.933796296000000581e+00,8.315476293000000396e+01,-2.463624389000000026e+00,2.795238093000000390e+02,3.260731056000000017e+00,3.591208836999999932e+01,1.000000000000000000e+00
2.231381809000000160e+01,1.709935176000000112e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.401851852000000065e+00,8.967499999999999716e+01,3.940277778000000009e+00,6.200000000000000000e+01,0.000000000000000000e+00,3.209895649500000303e+01,1.000000000000000000e+00
2.159571631000000025e+01,6.865784657999999752e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.627314815000000081e+00,9.740000000000000568e+01,6.002777777999999564e+00,8.208333333000000209e+01,6.333066700000000715e-02,5.684740097249999735e+01,1.000000000000000000e+00
2.156601732000000027e+01,7.579224170000000527e+01,9.039355529999999472e-01,8.988977270000000352e-01,2.650462963000000283e+00,9.784999999999999432e+01,2.958333333000000120e+00,2.830833332999999925e+02,1.009565333000000065e+00,5.893149643419999961e+01,1.000000000000000000e+00
2.200259094000000104e+01,1.835808856999999961e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.902314814999999992e+00,8.775833332999999925e+01,3.740277778000000275e+00,3.020000000000000000e+02,6.035040000000000404e-01,3.245627359579999904e+01,1.000000000000000000e+00
2.316907020000000017e+01,3.832196291000000254e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.444444444999999799e+00,5.417499999999999716e+01,1.136203704000000059e+01,1.430833333000000209e+02,2.346960000000000157e-01,2.285117478420000126e+01,1.000000000000000000e+00
2.153723297000000159e+01,0.000000000000000000e+00,6.961176097999999257e+00,1.443381491999999877e+00,4.892592592999999823e+00,8.175000000000000000e+01,7.810185184999999919e+00,9.091666666999999791e+01,6.184053330000000015e-01,2.253618610999999916e+01,0.000000000000000000e+00
2.195930977000000084e+01,1.985941320999999959e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.851388888999999871e+00,6.896666666999999507e+01,1.657407409999999970e-01,4.800000000000000000e+01,0.000000000000000000e+00,3.341364468670000321e+01,1.000000000000000000e+00
2.167902939000000018e+01,2.584837428999999887e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.060185184999999919e+01,6.189999999999999858e+01,-4.398148147999999757e+00,2.813333332999999925e+02,2.753021332999999959e+00,3.459857314749999802e+01,1.000000000000000000e+00
2.300151072999999968e+01,1.002988138000000085e+01,4.762513193000000200e+01,5.321204986000000581e+00,4.733796296000000403e+00,8.789166667000000643e+01,6.595833332999999854e+00,1.626666666999999791e+02,1.717378666999999970e+00,4.185455413329999885e+01,1.000000000000000000e+00
2.227828836000000123e+01,1.506300268000000031e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.885648147999999580e+00,9.217499999999999716e+01,9.080555556000000195e+00,2.760000000000000000e+02,1.821688000000000196e+00,3.138263214919999911e+01,1.000000000000000000e+00
2.182516365000000036e+01,0.000000000000000000e+00,2.031635789999999986e+02,6.662031690999999967e+01,7.199537037000000694e+00,6.967499999999999716e+01,1.258750000000000036e+01,8.866666666999999791e+01,1.344845333000000087e+00,2.113872685169999954e+01,0.000000000000000000e+00
2.232209830000000039e+01,4.224637741999999641e+00,4.727351248999999811e+00,1.933353480999999929e+00,1.104675925999999997e+01,9.862500000000000000e+01,1.124166667000000075e+01,2.967500000000000000e+02,1.322493332999999938e+00,3.166246994999999842e+01,3.333333332999999787e-01
