# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
1.773473815806410059e+01,9.689079328583970252e+00,1.329480943000000082e+02,3.940918734999999629e+02,7.445833333000000209e+01,4.802777778000000275e+00,3.429533944420000324e+01,1.000000000000000000e+00,4.602793770771248898e-03,4.924284185880149494e+02,1.193103632668114811e+00
2.107472754283029914e+01,2.714935814201010089e+01,6.129036179999999945e+01,6.029269259000000147e+02,5.682500000000000284e+01,1.072453703999999952e+01,4.334047424669999771e+01,1.000000000000000000e+00,4.109290617075900612e-03,3.211616643073852515e+02,1.338098883850329379e+00
2.123558598590249957e+01,2.259356005551530089e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.135833333000000067e+01,-5.235648148000000113e+00,4.026907046170000370e+01,1.000000000000000000e+00,3.358470521188682174e-03,5.425081037239119723e+02,1.421798757408140323e+00
2.352738659098190155e+01,2.660137021561660209e+00,1.327826270999999849e+02,8.381226891000000023e+02,2.875833332999999925e+01,1.151574074000000003e+01,2.388382630919999983e+01,1.000000000000000000e+00,1.174980482939764082e-03,9.588028768583311603e+02,1.503227933479006406e+00
2.241795603607310028e+01,6.889724472673430000e+01,5.281393831999999833e+01,9.105839944999999602e+00,7.439166667000000643e+01,-3.259259258999999798e+00,6.586411676000000170e+01,1.000000000000000000e+00,3.096965495274105716e-03,9.757062774438614952e+02,1.539727875265318735e+00
2.181565745312270010e+01,9.114210783013529493e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.139166667000000643e+01,5.371759259000000064e+00,3.117653208750000005e+01,1.000000000000000000e+00,3.623154308066773438e-03,5.119376857313213236e+02,1.375707654096950616e+00
1.966815768225379912e+01,1.045858521110240069e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.567499999999999716e+01,-4.170370371000000631e+00,3.084464427329999836e+01,1.000000000000000000e+00,2.513723456494702975e-03,4.550706166662036480e+02,1.240416988192909908e+00
2.216159079020729905e+01,1.353909056010610001e+01,1.840994715000000070e+01,2.516820643999999731e+02,6.004999999999999716e+01,9.367129628999999014e+00,3.218779048169999868e+01,1.000000000000000000e+00,2.824110447166687694e-03,8.388655343623561293e+02,1.433418476801477270e+00
2.114479943284710117e+01,7.778999479445680265e+01,8.178093728000000340e+00,6.655130395000000476e+01,8.070000000000000284e+01,-3.865740739999999898e-01,5.868697523249999648e+01,1.000000000000000000e+00,3.661348719697158239e-03,2.007194578862345793e+02,1.677204289860241948e+00
2.097840474480279838e+01,4.931773234064429801e+01,9.083426957999999729e+01,9.722265490000000510e-01,8.166666666999999791e+01,5.279166667000000146e+00,4.523948259250000348e+01,1.000000000000000000e+00,2.199737264052309751e-03,7.707639256007348649e+02,1.512836840837553432e+00
1.902864736713620175e+01,1.780415783048620071e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.007500000000000284e+01,-1.038888889000000093e+00,4.431826615829999838e+01,1.000000000000000000e+00,2.354875166773408215e-03,5.756831223390670402e+02,1.223834014394221459e+00
2.329915423730519919e+01,2.826445585447979880e+01,7.365189107000000490e+01,1.968077726999999832e+00,7.715833333000000493e+01,3.065740741000000380e+00,3.917256958250000309e+01,1.000000000000000000e+00,2.132514819663017432e-03,4.737759828970771423e+02,1.594728721662770798e+00
