# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.228767064000000175e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.073333332999999357e+01,1.523287037000000055e+01,2.855571963419999904e+01,0.000000000000000000e+00
2.015667035999999968e+01,3.562427083000000039e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.675000000000000000e+01,-8.430555559999999282e-01,4.374784643579999965e+01,1.000000000000000000e+00
2.300151072999999968e+01,1.002988138000000085e+01,4.762513193000000200e+01,5.321204986000000581e+00,8.789166667000000643e+01,6.595833332999999854e+00,4.185455413329999885e+01,1.000000000000000000e+00
2.068518418000000025e+01,3.187067628999999958e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.817499999999999716e+01,-1.996296295999999915e+00,1.997676213420000124e+01,1.000000000000000000e+00
2.405065736999999970e+01,1.466177613000000157e+00,1.034414713999999975e+02,6.541014727999998968e+02,8.109999999999999432e+01,1.486388889000000013e+01,2.760044420999999915e+01,5.833333333000000342e-01
2.196732450000000014e+01,2.940375051999999911e+01,3.232219428000000221e+02,9.608497013000000209e+01,5.946666667000000217e+01,-1.085185185000000052e+00,4.057830832919999864e+01,1.000000000000000000e+00
2.281554371000000003e+01,2.805572909999999975e+00,2.661286171999999510e+02,1.143258344000000051e+02,5.754999999999999716e+01,9.962962962000000644e+00,2.129762500080000009e+01,1.000000000000000000e+00
2.278449061999999969e+01,0.000000000000000000e+00,9.427930641999999750e+01,1.793374507000000051e+02,7.351666667000000643e+01,1.620277778000000168e+01,2.566966428579999970e+01,0.000000000000000000e+00
2.177015130999999926e+01,2.364571010999999956e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.504999999999999716e+01,2.685185184999999919e+00,3.552004371920000381e+01,1.000000000000000000e+00
2.025094467999999992e+01,3.462848477000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.294166666999999649e+01,-1.317592592999999868e+00,4.313908458419999903e+01,1.000000000000000000e+00
1.945141540999999918e+01,7.719306833000000267e+01,5.152981823999999733e+01,1.761905007000000012e+01,8.494166667000000359e+01,2.231018519000000033e+00,5.542934495419999763e+01,1.000000000000000000e+00
2.092759519000000168e+01,2.717945363999999842e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.697499999999999432e+01,-1.578703704000000041e+00,3.842050277669999758e+01,1.000000000000000000e+00
2.357233684999999923e+01,2.732146221999999902e+00,7.450165950999999609e+01,3.915006571999999778e+02,4.368333333000000351e+01,1.199351852000000029e+01,2.269809938919999937e+01,1.000000000000000000e+00
2.294458795999999978e+01,2.842037853000000069e+01,1.768031800999999916e+02,3.922666454000000158e+02,5.815833332999999783e+01,4.892129630000000340e+00,4.324065898079999926e+01,1.000000000000000000e+00
2.086992164999999844e+01,2.753684159000000164e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.269166667000000359e+01,-1.974537036999999939e+00,3.905622791580000097e+01,1.000000000000000000e+00
1.485764424000000083e+01,4.455998449999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.524166667000000075e+01,-3.700000000000000178e+00,1.564999046420000006e+01,0.000000000000000000e+00
2.293858660000000071e+01,1.591132730000000173e+01,1.027308569000000062e+02,3.215482352000000077e+01,7.519166667000000359e+01,1.518518519999999816e-01,4.426645680499999713e+01,1.000000000000000000e+00
2.066753777999999997e+01,2.279957548000000145e+01,7.624646948000000179e+01,4.628633540000000046e-01,9.884999999999999432e+01,3.812962962999999927e+00,3.713527578749999947e+01,1.000000000000000000e+00
2.281554371000000003e+01,2.805572909999999975e+00,2.661286171999999510e+02,1.143258344000000051e+02,5.754999999999999716e+01,9.962962962000000644e+00,2.129762500080000009e+01,1.000000000000000000e+00
2.165446002999999919e+01,1.982684485000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.704166666999999791e+01,5.854629629999999807e+00,3.519577174580000190e+01,1.000000000000000000e+00
