# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.227563980890629836e+01,1.047588777919819947e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.695833333000000209e+01,-1.465277778000000142e+00,3.778346655080000005e+01,1.000000000000000000e+00,7.369751415466663236e-02,1.722928499579633126e+02,7.445842656513451630e+02,1.246781619955513731e+00,9.404822813790355340e+00,4.692303133898644063e+01,1.879026329650580474e-01
2.319770967337939993e+01,1.400322906406920076e+01,1.115526755999999953e+00,3.476398045999999908e+01,5.289166666999999933e+01,-3.792592593000000178e+00,4.419482870329999713e+01,1.000000000000000000e+00,7.917850123717076749e-02,2.791992461192202200e+02,2.052454528092858084e+02,1.525463497899144594e+00,1.557562990021516391e+01,2.941607119077955446e+01,6.140705441438460560e-02
2.083059395826899873e+01,1.273262274654300086e+01,5.752381582999999132e+00,7.324327670000000401e-01,7.745000000000000284e+01,-2.020370370000000193e+00,3.777399711830000228e+01,1.000000000000000000e+00,5.843545922070898097e-02,3.595197858542629774e+02,2.783952633824419536e+02,1.629677686034266326e+00,1.634592905154546827e+01,3.342293205497279018e+01,2.481120771013658466e-01
2.347402875006070033e+01,7.260563273593150235e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.046666667000000217e+01,6.045833332999999143e+00,2.111502327420000213e+01,1.000000000000000000e+00,6.523311912923035472e-02,2.148634922449419662e+02,9.280822422770891080e+02,1.645994509609759682e+00,6.087315163600947265e+00,4.825924302182244219e+01,2.953659615601137989e-01
2.797041921360520078e+01,5.276397932767100230e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,1.876249999999999929e+01,2.286571990750000083e+01,0.000000000000000000e+00,8.673399011883044241e-02,2.498413382341755664e+02,4.732355243711289177e+02,1.618278751169665020e+00,1.892485454374157783e+01,3.861676330752999320e+01,1.057900576801856611e-02
2.062971710649240009e+01,3.070707226103860066e+01,2.157672440999999885e+00,5.632625929999999226e-01,7.318333332999999641e+01,7.687500000000000000e+00,5.036335300919999725e+01,1.000000000000000000e+00,5.938857041463258685e-03,2.134990027064481524e+02,3.076338556758843765e+02,1.553928925126493610e+00,2.105458485830675031e+01,3.961390267050296643e+01,1.997400458485930064e-01
2.420952050965789937e+01,0.000000000000000000e+00,2.233478321999999707e+02,8.494460100999999952e+01,6.102499999999999858e+01,1.585925925999999997e+01,2.265663173579999778e+01,0.000000000000000000e+00,2.463125107272843423e-03,1.721491201539522251e+02,7.877339315595929747e+02,1.600044318544052935e+00,1.800555666104752817e+01,3.856346735800493519e+01,2.079543928069315373e-01
2.261987079488270069e+01,7.777951867926719665e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.815833333000000493e+01,7.226388888999999871e+00,2.822120387920000084e+01,1.000000000000000000e+00,8.894585349899598870e-03,1.227027707919699822e+02,6.829614891989198213e+02,1.685966219902022889e+00,7.177401380914382401e+00,4.806430060113166292e+01,1.857465057479077697e-01
2.393858234826139864e+01,1.986995568855590122e+01,1.695122925999999950e+02,6.134909435000000144e+01,6.879999999999999716e+01,-8.795370370000000548e+00,4.022398610169999955e+01,1.000000000000000000e+00,3.367865688120016965e-02,2.299311954147354129e+02,2.432538778613439376e+02,1.340487134388572255e+00,9.808785327774870666e+00,3.256296847111619996e+01,5.543410427647415400e-02
2.218164947587860070e+01,7.936371329769640326e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.479999999999999716e+01,2.097222222000000080e+00,3.829729458250000107e+01,1.000000000000000000e+00,4.429256843784427217e-03,3.286153547904376637e+02,9.137689685603314729e+02,1.154606069270817104e+00,2.197498103000210889e+01,3.217946268994812442e+01,1.706724409419790589e-01
