# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.847883768000000160e+01,5.174762412999999839e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.958333333000000209e+01,-1.244768518999999962e+01,5.146179124999999743e+01,1.000000000000000000e+00
2.272113193999999936e+01,0.000000000000000000e+00,1.550252713999999976e+01,5.715183258999999794e+01,9.826666667000000643e+01,1.306388888999999942e+01,2.300920353420000097e+01,0.000000000000000000e+00
2.485649536000000026e+01,5.437369999999999592e+00,1.383515696999999989e+02,5.849002578999999535e+00,6.991666666999999791e+01,1.982175926000000032e+01,1.704303692999999953e+01,3.333333332999999787e-01
1.927320287999999948e+01,1.806772356000000102e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.870833333000000209e+01,-4.773148150000000034e-01,2.914196606499999831e+01,1.000000000000000000e+00
2.062600995000000026e+01,2.898075683000000069e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.406666667000000359e+01,-2.239814814999999903e+00,4.004006199079999817e+01,1.000000000000000000e+00
2.450963799999999893e+01,0.000000000000000000e+00,1.353834951999999703e+02,1.872816161999999895e+00,6.979166666999999791e+01,1.682222222000000045e+01,2.427547638920000139e+01,0.000000000000000000e+00
2.278007076999999825e+01,4.297063539999999904e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.418333332999999641e+01,-4.287037037000000161e+00,5.262784791749999869e+01,1.000000000000000000e+00
2.310733046000000002e+01,2.488631695999999849e+01,1.232138361000000089e+02,6.586641150000000380e+02,6.335833333000000067e+01,2.848148147999999935e+00,3.639497012830000244e+01,1.000000000000000000e+00
2.289381922000000102e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.135833332999999357e+01,1.343425925999999926e+01,2.308987800499999921e+01,0.000000000000000000e+00
1.911002664000000095e+01,4.248165595999999766e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.377499999999999858e+01,3.427777778000000275e+00,4.377987550920000359e+01,1.000000000000000000e+00
2.088329743999999977e+01,3.100985618000000166e+00,1.253773790999999989e+02,8.483261691000000155e+02,3.094999999999999929e+01,3.225925926000000388e+00,2.177254911170000184e+01,1.000000000000000000e+00
2.264515056000000115e+01,3.859172911000000283e+01,6.100516651000000223e+01,9.908751529999999530e-01,9.855833332999999641e+01,8.000000000000000000e+00,3.982166111669999964e+01,1.000000000000000000e+00
2.413767269999999954e+01,0.000000000000000000e+00,5.626506822999999713e+00,1.464818729000000097e+00,9.594166667000000359e+01,1.361481481000000038e+01,2.419108450079999884e+01,0.000000000000000000e+00
2.301339712000000048e+01,2.480561243000000005e+01,9.568176674999999420e+01,8.664193957000000523e+01,6.214166666999999933e+01,2.204166666999999968e+00,3.669189958749999647e+01,1.000000000000000000e+00
2.229502459000000059e+01,5.104590928999999555e+00,1.725310549000000151e+02,6.418312387999999657e+01,7.352500000000000568e+01,9.645833332999998788e+00,2.780036246250000076e+01,1.000000000000000000e+00
2.199437604999999962e+01,5.709454086000000217e+01,6.101307795999999684e+01,1.899726993000000030e+00,7.063333332999999925e+01,-1.606481480000000184e-01,6.404917092579999860e+01,1.000000000000000000e+00
2.249656974999999903e+01,3.376859376999999718e+00,1.280944060999999863e+02,8.503055613999999878e+02,3.635833333000000067e+01,3.957870371000000276e+00,2.457302034670000168e+01,1.000000000000000000e+00
2.218683637999999902e+01,1.635541128999999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.885833332999999357e+01,7.556481481000000500e+00,3.223060687579999950e+01,1.000000000000000000e+00
2.078350058999999916e+01,2.654935255999999910e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.285833332999999357e+01,-3.999537037000000073e+00,3.675767000999999823e+01,1.000000000000000000e+00
2.256692886000000087e+01,1.132506030000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.759999999999999432e+01,1.047731482000000014e+01,2.969335814749999969e+01,1.000000000000000000e+00
2.174952499000000117e+01,1.898989747999999977e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.154166666999999791e+01,3.716203703999999775e+00,3.412195020920000132e+01,1.000000000000000000e+00
2.058951504999999926e+01,1.456307493000000086e+01,2.088071422999999882e+01,1.591946979999999956e-01,9.859166666999999507e+01,3.084722221999999903e+00,4.082817411999999990e+01,1.000000000000000000e+00
2.314656789999999731e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.064166667000000643e+01,1.367500000000000071e+01,2.324009264920000106e+01,0.000000000000000000e+00
2.211292100000000005e+01,0.000000000000000000e+00,9.566227301000000693e+01,7.636917427000000202e+00,7.567499999999999716e+01,1.830879630000000091e+01,2.158899024420000146e+01,0.000000000000000000e+00
2.118409817999999945e+01,3.002363166000000305e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.726666667000000643e+01,1.062175925999999926e+01,2.080065969999999709e+01,1.000000000000000000e+00
2.237239442999999994e+01,1.161107014000000071e+01,1.848307531999999753e+02,1.729473743000000070e+02,7.361666667000000075e+01,9.152777777999999032e+00,3.168791174920000131e+01,1.000000000000000000e+00
2.170761552000000094e+01,3.740390043000000109e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.896666667000000217e+01,3.899537036999999984e+00,2.103154595750000055e+01,9.166666666999999658e-01
2.144126394999999974e+01,1.832206528000000167e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.805833332999999641e+01,7.712962962999999839e+00,2.171646411829999934e+01,6.666666666999999658e-01
2.159849007000000043e+01,0.000000000000000000e+00,6.124096845999999772e+01,1.061993630000000088e+01,7.794166667000000359e+01,1.722268517999999915e+01,2.155745231499999903e+01,0.000000000000000000e+00
2.493681476000000075e+01,0.000000000000000000e+00,1.580398882000000071e+02,1.356325241999999776e+02,6.680833332999999641e+01,1.826851852000000065e+01,2.545832132829999850e+01,0.000000000000000000e+00
2.075365714999999867e+01,2.900399999000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.395000000000000284e+01,-3.305555560000000281e-01,4.010654916749999899e+01,1.000000000000000000e+00
2.298719523999999836e+01,1.720552263000000082e+01,1.537942654000000005e+02,1.444203766999999914e+02,7.230833332999999641e+01,7.740740739999999676e+00,3.398292368170000088e+01,1.000000000000000000e+00
2.274093009999999992e+01,3.492656938999999738e+01,8.874936009999998987e+01,2.868686432000000064e+00,6.816666666999999791e+01,5.240740739999999454e-01,5.051747157500000185e+01,1.000000000000000000e+00
2.323889898999999915e+01,1.349131747000000026e+01,1.706043328999999886e+01,2.299584864999999922e+00,6.712500000000000000e+01,1.175601851999999958e+01,3.081176389330000021e+01,1.000000000000000000e+00
2.016458135999999968e+01,3.573006943000000035e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.162500000000000000e+01,-6.328240741000000114e+00,4.262314245249999800e+01,1.000000000000000000e+00
1.936143685000000048e+01,1.585072684999999915e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.367976249999999538e+01,2.015145106999999935e+00,2.863282703750000024e+01,1.000000000000000000e+00
2.055975224999999895e+01,4.400406876999999994e+00,5.550766288999999887e+01,2.456829570000000018e+00,8.400833332999999925e+01,6.019444445000000421e+00,2.073037993499999843e+01,1.000000000000000000e+00
2.307137033000000059e+01,5.557611718999999617e+00,8.899302376999999353e+01,3.125371399999999653e+02,7.359166666999999507e+01,5.810185179999999283e-01,3.907748277750000199e+01,1.000000000000000000e+00
2.279375684000000035e+01,2.654096980000000272e+01,3.714700544000000093e+01,1.071645994000000002e+02,6.165833332999999783e+01,1.527314814999999992e+00,3.851223300830000085e+01,1.000000000000000000e+00
2.651797948999999832e+01,0.000000000000000000e+00,2.767411930000000098e+02,6.812052006000000404e+01,5.356666666999999649e+01,2.286018518999999927e+01,2.466227631829999822e+01,0.000000000000000000e+00
2.158783949000000035e+01,1.867827327999999909e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.427500000000000568e+01,5.150462962999999839e+00,3.272438797670000099e+01,1.000000000000000000e+00
2.010035289999999719e+01,3.529330467999999854e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,-8.250925926000000743e+00,4.287625300919999916e+01,1.000000000000000000e+00
2.135431072000000086e+01,2.508298042999999922e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.353333333000000493e+01,3.324537036999999806e+00,3.704985863920000355e+01,1.000000000000000000e+00
2.088835594000000029e+01,2.504912584999999936e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.729999999999999716e+01,3.201388888999999960e+00,3.659762223579999585e+01,1.000000000000000000e+00
2.681617917000000162e+01,0.000000000000000000e+00,2.177837896999999998e+02,1.438999343000000124e+02,5.238333332999999925e+01,2.325833332999999925e+01,2.504338613420000215e+01,0.000000000000000000e+00
1.921270791999999972e+01,2.757318052999999836e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.478333332999999783e+01,-4.433333333999999404e+00,2.841353886079999924e+01,1.000000000000000000e+00
2.135515039999999942e+01,0.000000000000000000e+00,1.623933116000000041e+02,1.450529725999999853e+00,7.707500000000000284e+01,1.065833332999999961e+01,2.109402754250000100e+01,0.000000000000000000e+00
2.305372322999999923e+01,1.356051785999999915e+01,1.779128691999999887e+02,1.953091996999999935e+02,7.011666667000000075e+01,9.293981482000001293e+00,3.240309879750000022e+01,1.000000000000000000e+00
2.144865019999999944e+01,2.727256830000000321e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.255833333000000351e+01,-4.505555556000000017e+00,3.629478062580000142e+01,1.000000000000000000e+00
2.288583189999999945e+01,1.769061549999999983e+01,1.056120397000000111e+02,3.405490989999999840e+01,5.207500000000000284e+01,7.343518517999999773e+00,3.334902687079999595e+01,1.000000000000000000e+00
2.288120041000000171e+01,8.280225677999998979e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.640833332999999783e+01,7.570833332999999499e+00,3.578494153670000344e+01,1.000000000000000000e+00
2.233416610000000091e+01,1.501046537000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.855833332999999641e+01,7.474999999999999645e+00,3.143047215670000227e+01,1.000000000000000000e+00
2.421360831000000147e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.970000000000000284e+01,1.768842593000000107e+01,2.370560762830000101e+01,0.000000000000000000e+00
2.055540605999999926e+01,2.847602479999999936e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.647499999999999432e+01,1.098009258999999993e+01,1.989589486579999900e+01,1.000000000000000000e+00
2.256692886000000087e+01,1.132506030000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.759999999999999432e+01,1.047731482000000014e+01,2.969335814749999969e+01,1.000000000000000000e+00
2.269308737000000065e+01,3.973974494000000135e+01,4.914007720000000745e+01,9.651035780000000175e-01,9.814166667000000643e+01,6.945370371000000098e+00,4.046273235249999800e+01,1.000000000000000000e+00
2.294179051000000058e+01,2.026171856999999932e+01,1.471180908999999986e+02,2.775978241000000253e+02,6.941666666999999791e+01,1.386111110999999951e+00,3.256837052249999687e+01,1.000000000000000000e+00
1.897078139999999991e+01,1.748607963999999981e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.128333333000000493e+01,1.840740740999999847e+00,3.048537859249999826e+01,1.000000000000000000e+00
2.211754902999999928e+01,1.322586171999999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.046666667000000217e+01,6.045833332999999143e+00,2.111502327420000213e+01,1.000000000000000000e+00
2.144179654999999940e+01,2.229024422999999899e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.389166667000000643e+01,6.910185184999999564e+00,3.653051086579999662e+01,1.000000000000000000e+00
1.830115903000000088e+01,2.775815220000000139e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.674166667000000075e+01,-6.051851852000000420e+00,3.500035985170000430e+01,1.000000000000000000e+00
2.251955192999999866e+01,2.628780997999999869e+01,1.983963350000000219e+02,2.465657988999999972e+01,6.335000000000000142e+01,1.358333333000000032e+00,3.753767611579999652e+01,1.000000000000000000e+00
2.458900969999999830e+01,0.000000000000000000e+00,2.646885128000000122e+02,9.990668252000000393e+01,7.534999999999999432e+01,1.896249999999999858e+01,2.374990601920000088e+01,0.000000000000000000e+00
2.259707785999999885e+01,6.566398227999999904e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.768333333000000351e+01,-2.710648148000000202e+00,5.711793481499999814e+01,1.000000000000000000e+00
2.018736481999999910e+01,7.966439501000000689e+01,4.484736568999999662e+01,5.766962329000000409e+02,6.779166666999999791e+01,-7.438425925999999855e+00,6.233992874919999849e+01,1.000000000000000000e+00
1.432519674999999992e+01,7.009973847000000546e+01,1.426292143000000046e+01,1.407152959999999897e-01,8.547499999999999432e+01,-4.141666666999999968e+00,5.057006824079999774e+01,1.000000000000000000e+00
