# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
1.133101309033030013e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00,3.272229075999999992e+01,1.000000000000000000e+00,7.893450259775428024e-02,2.903037229105121924e+02,7.777082199619300127e+02,1.618795287939728711e+00,1.432712896155032745e+01,4.751318971014832471e+01,2.910451005110918365e-01
4.064031886548540307e+00,4.572286960999999650e+01,4.222398689999999899e-01,9.777500000000000568e+01,1.102962963000000052e+01,2.093781457920000122e+01,0.000000000000000000e+00,4.807429373704545650e-02,2.121114430251244585e+02,7.589025390485440994e+02,1.333524187459853128e+00,1.730620866619844733e+01,4.777054140360606027e+01,1.411357194421362093e-01
1.751153603790499957e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.880833333000000351e+01,-9.568055555000000822e+00,6.539601412170000572e+01,1.000000000000000000e+00,7.114980203751983256e-02,3.325622662695970462e+02,6.803627729176371304e+02,1.565791665643335495e+00,1.145778061888431054e+01,4.906851566001898846e+01,1.786759213548474723e-01
2.228868490324409990e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.920833333000000209e+01,6.497222222000000436e+00,3.005448634249999884e+01,1.000000000000000000e+00,8.918741892558661177e-02,2.504801677723727096e+02,8.472500519900900144e+02,1.580072591888678435e+00,6.167976078331154355e+00,2.287847800793494812e+01,2.432740813537757341e-01
2.137648001390670061e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.644166667000000359e+01,8.986574073999999968e+00,2.923655417499999842e+01,1.000000000000000000e+00,2.642245939517972198e-03,3.763575288785927455e+02,9.063548254774618727e+02,1.502355415585327369e+00,2.429614311988656894e+01,4.031702083969003070e+01,2.351445374812588529e-01
1.003431287263219929e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.686666667000000075e+01,4.406944444999999710e+00,3.988441646829999598e+01,1.000000000000000000e+00,4.120832188866416224e-02,3.985108043635049171e+02,8.639388340665032047e+02,1.599710351221578897e+00,1.498679011652584592e+01,3.691228381490340382e+01,6.561840460404962105e-02
1.646778041890280164e+01,2.220561177000000086e+01,8.118917890000000526e+00,8.367499999999999716e+01,4.631944444000000161e+00,3.640247858250000235e+01,1.000000000000000000e+00,1.287319124285647015e-02,9.456249519156092731e+01,6.698141887853034859e+02,1.604572227021451969e+00,1.232312284488857479e+01,2.616281676820249302e+01,2.204640590291389035e-01
1.776504194788549995e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.350833332999999925e+01,-2.700462963000000105e+00,4.044384694499999711e+01,1.000000000000000000e+00,1.852554582993801852e-02,2.075819582799026932e+02,9.421498696673114637e+02,1.241062132740375246e+00,2.125125770110783208e+01,2.470890808181249199e+01,2.591797805068594696e-01
1.791581485283710151e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.934166666999999507e+01,3.474074073999999790e+00,2.814855117999999834e+01,1.000000000000000000e+00,6.793724680507876035e-02,2.753927430553441695e+02,4.100844024308710232e+02,1.252890587498031394e+00,2.255093354850231080e+01,2.667471425395678608e+01,1.955583633028672996e-01
2.459297662616809887e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.078333333000000493e+01,1.348564814999999939e+01,2.272358196249999907e+01,1.000000000000000000e+00,6.319750044200965478e-02,8.188265030037882752e+01,3.161535013118566440e+02,1.644936651151012619e+00,1.444486691854691429e+01,4.105533087733407882e+01,1.933854568078672564e-01
2.342929542274789867e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.440833333000000493e+01,-8.166666670000000128e-01,3.272894676079999954e+01,1.000000000000000000e+00,5.740746741131076691e-02,7.990532059894454164e+01,6.859711993118171449e+02,1.268311553373042688e+00,1.205808165653521158e+01,3.863211009979039545e+01,1.035485165804592989e-01
8.328821923723740639e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.912500000000000000e+01,4.180555559999999948e-01,3.293305768249999943e+01,1.000000000000000000e+00,1.975973795806490810e-02,3.773730620071182216e+02,2.449013093627382887e+02,1.383654842750374536e+00,9.993166516302693481e+00,4.893368964106181096e+01,2.010612369487365519e-02
