# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.236720832580000007e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.676666666999999933e+01,2.219444444000000072e+00,3.576042841169999775e+01,1.000000000000000000e+00,2.995732802000000139e-01,5.677991400000000424e-03,2.907052226399999828e+00,4.335522305000000243e-01,4.501075439499999931e+01,8.760204039999999748e-02
2.581321911339999886e+01,6.903467967999999644e+01,2.962912200999999968e+00,7.682500000000000284e+01,1.651388888999999915e+00,5.195154930420000028e+01,1.000000000000000000e+00,2.221742365000000108e-01,6.333528199999999796e-03,1.575755478800000109e+00,3.762917055000000177e-01,6.302245492910000024e+01,1.398871163000000029e-01
2.824278367739999851e+01,2.534168259999999862e+02,4.479538534999999797e+02,5.509583332999999783e+01,2.328703704000000041e+00,2.787048520669999974e+01,1.000000000000000000e+00,2.021761499999999989e-01,3.662532500000000198e-03,2.329848642600000019e+00,4.387098944000000222e-01,6.234160086680000035e+01,6.604529160000000010e-02
2.828169238510000127e+01,9.279866583000000446e+01,8.683770532999999432e+02,3.132499999999999929e+01,4.007870370000000015e+00,2.646923594500000121e+01,1.000000000000000000e+00,1.297124830999999978e-01,3.259976999999999840e-03,2.151232248999999985e+00,2.808963769999999749e-01,5.652474594059999902e+01,1.200119122999999954e-01
2.033809803040000119e+01,3.171518212999999875e+01,3.723304119999999995e-01,9.754166666999999791e+01,7.151851852000000065e+00,4.542738870249999650e+01,1.000000000000000000e+00,7.156336879999999900e-02,7.953454999999999900e-03,1.625920215799999902e+00,3.277839553999999933e-01,4.339690132199999795e+01,1.601251427000000005e-01
2.748168442549999924e+01,2.655430567999999880e+02,2.232320665999999960e+02,5.257500000000000284e+01,-6.476851850000000521e-01,3.975344361079999800e+01,1.000000000000000000e+00,1.419552637000000006e-01,8.970078200000000321e-03,1.840965563099999924e+00,3.879800938999999893e-01,7.478226540490000218e+01,8.536716249999999617e-02
2.570130626239999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.270000000000000284e+01,4.637500000000000178e+00,4.853087180579999682e+01,1.000000000000000000e+00,1.172265314999999947e-01,5.117579500000000309e-03,1.822047842599999967e+00,6.004222305999999953e-01,4.390137979109999833e+01,1.136430801999999962e-01
2.338079458480000028e+01,1.726743809999999968e+01,9.266577748000000270e+01,7.728333333000000493e+01,1.424305554999999934e+01,2.447916620419999845e+01,0.000000000000000000e+00,2.269533762000000010e-01,3.351146599999999930e-03,2.767176614399999846e+00,3.206296222000000196e-01,4.478089031740000081e+01,2.015730374999999963e-01
2.233009313970000065e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,-2.379166666999999791e+00,3.748843759329999870e+01,1.000000000000000000e+00,1.848623199999999966e-01,7.288655100000000255e-03,1.932800776799999953e+00,4.812612914000000131e-01,8.625594890829999883e+01,3.969391869999999711e-02
1.900521404539999892e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544669999999854e+01,1.000000000000000000e+00,7.625296080000000531e-02,6.114793900000000185e-03,2.565867611599999876e+00,2.733876624000000088e-01,5.720806956519999886e+01,1.221442915999999962e-01
3.040788444500000054e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.645833333000000209e+01,1.043425925999999926e+01,2.297581155079999959e+01,0.000000000000000000e+00,2.784836350000000071e-01,2.687780099999999891e-03,2.885030845400000210e+00,6.036326182000000262e-01,8.767239810380000620e+01,2.404417534999999939e-01
2.602557961930000019e+01,1.609267102000000023e+02,1.643949540000000127e+02,7.934166666999999507e+01,6.366666666999999613e+00,3.244404056919999846e+01,1.000000000000000000e+00,2.181722906999999934e-01,3.474212600000000165e-03,2.754263142500000150e+00,6.416114582999999927e-01,6.517315687859999684e+01,2.729979833000000244e-01
1.877199147379999999e+01,8.880751542000000143e+01,1.800773274999999956e+02,4.361666667000000075e+01,-1.984259259000000108e+00,4.689656194500000197e+01,1.000000000000000000e+00,9.016939890000000291e-02,4.136849199999999803e-03,2.869118508400000156e+00,3.115363499000000091e-01,6.274095813120000287e+01,1.248977921000000019e-01
2.650826761500000117e+01,1.223044919000000021e+02,7.176595897000000335e+00,6.928333333000000493e+01,3.178703704000000130e+00,3.788469585330000200e+01,1.000000000000000000e+00,2.379187339999999928e-01,8.416625599999999832e-03,2.211634948199999950e+00,6.373699838999999923e-01,9.957746696190000080e+01,2.327869640999999934e-01
