# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.166573204328109981e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.546666666999999507e+01,-8.433796296000000581e+00,3.433814726420000341e+01,1.000000000000000000e+00,4.331462121855234569e-03,1.818729782510268933e+02,4.095157083350679841e+02,1.343890174246241909e+00,4.467103217318057773e+01,7.335089091386111371e-02
2.716302316852700116e+01,1.680215379999999925e+01,8.171030118999999203e+00,5.329166666999999791e+01,1.789120370999999921e+01,3.473521889749999758e+01,2.500000000000000000e-01,3.531946939555875593e-03,3.677244982498125978e+02,6.549486991152982682e+02,1.382172781828908903e+00,3.826653327129484694e+01,7.823042429720233892e-02
3.687036881584639936e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.508333333000000209e+01,1.092916667000000075e+01,2.764536914500000009e+01,1.000000000000000000e+00,2.764608324393498604e-03,1.023439195861541577e+02,5.108906960337699275e+02,1.146931451283573988e+00,4.728878580097990181e+01,2.172407820490920155e-02
1.713113472031849938e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.763333332999999925e+01,3.743055556000000283e+00,2.848695233750000000e+01,1.000000000000000000e+00,1.162112756619086262e-03,1.311394752706946463e+02,4.055160976323883801e+02,1.409485204609556286e+00,2.375352248877081607e+01,8.678331185931845160e-02
2.491622255197039948e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.288333332999999925e+01,6.824074079999999931e-01,4.399197949170000044e+01,1.000000000000000000e+00,3.799789226560129629e-03,2.298613895126601960e+02,8.595125432037087876e+02,1.604746062700282527e+00,2.546390560261811586e+01,2.685399724875279226e-01
2.558376040612149893e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.373333332999999357e+01,7.960648147999999757e+00,2.277613358329999826e+01,0.000000000000000000e+00,4.425297018553606479e-03,1.411559391168402726e+02,2.225019490877782573e+02,1.241207328311970226e+00,4.016737799188686608e+01,9.341447949862212441e-02
1.644051151243110098e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.101666667000000643e+01,3.826851851999999887e+00,3.395962789330000220e+01,1.000000000000000000e+00,3.195938486228119563e-03,7.743256536757387209e+01,9.868963921724576949e+02,1.518118310436190166e+00,7.931016410894072166e+00,5.859569096805614108e-02
3.469418021647919659e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.195833333000000209e+01,-1.098472222000000009e+01,4.230394027829999715e+01,1.000000000000000000e+00,2.710260494317996184e-03,3.564322033928339124e+02,3.000132591161612936e+02,1.664373899749695518e+00,3.043729668830946622e+01,1.028484053020957585e-02
5.765259866426529989e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.378333332999999783e+01,1.000231482000000049e+01,2.409983235170000171e+01,1.000000000000000000e+00,3.150197165087693062e-03,2.199836050456858914e+02,3.989522774679278427e+02,1.460362280477494057e+00,1.452357657799235469e+01,2.374049266360619692e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.970000000000000284e+01,-1.254166667000000013e+00,1.775985787420000150e+01,0.000000000000000000e+00,2.701492730770574911e-03,1.768326777623440194e+02,9.556957718404948992e+02,1.486744402604403437e+00,3.704151815159322325e+01,1.708772666436381149e-01
