# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.969864347000000038e+01,4.711155289999999773e+00,1.147741753999999901e+02,3.305833333000000351e+01,1.129629629999999940e+00,3.607859860330000146e+01,1.000000000000000000e+00
1.951043638999999885e+01,1.234044513999999992e+02,2.744321276000000154e+01,8.508333333000000209e+01,-7.645833332999999676e+00,5.976176463000000183e+01,1.000000000000000000e+00
2.062219441999999958e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.671666666999999507e+01,-3.760185185000000097e+00,4.090001731579999955e+01,1.000000000000000000e+00
2.252253705000000039e+01,1.167894174999999990e+02,4.202024386999999805e+00,8.725833332999999925e+01,3.006944443999999717e+00,3.912008166670000264e+01,1.000000000000000000e+00
2.191855582999999896e+01,7.147939716000000487e+01,1.069334959999999946e+00,9.137500000000000000e+01,2.307407406999999910e+00,4.632226124920000387e+01,1.000000000000000000e+00
2.130726437999999945e+01,1.096413059000000061e+02,7.591077728999999863e+02,5.695000000000000284e+01,2.700462963000000105e+00,3.418274267670000199e+01,1.000000000000000000e+00
5.432510972000000038e+01,4.407121348999999810e+01,2.241218888000000220e+02,7.720833333000000209e+01,-4.722222200000000120e-02,6.263785685330000064e+01,1.000000000000000000e+00
0.000000000000000000e+00,5.120537328999999716e+01,4.975992931999999591e+00,7.976666667000000643e+01,7.906018517999999773e+00,2.232837084670000038e+01,0.000000000000000000e+00
2.867339908999999576e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.635833333000000067e+01,6.040740741000000469e+00,1.961673212499999863e+01,1.000000000000000000e+00
1.735541947000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.768333332999999641e+01,2.112037036999999895e+00,3.269539355669999736e+01,1.000000000000000000e+00
2.748725834000000035e+01,6.088715932000000208e+01,6.664038202999999605e+00,7.799166667000000075e+01,-1.027314814999999992e+00,5.475118384249999792e+01,1.000000000000000000e+00
1.834404102999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.247499999999999432e+01,5.254629630000000162e+00,3.357339343579999991e+01,1.000000000000000000e+00
1.826126938000000166e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.243333333000000351e+01,-5.926851852000000420e+00,3.566401111999999785e+01,1.000000000000000000e+00
2.279469715999999835e+01,2.212550746999999944e+02,1.900690191999999854e+02,5.859166667000000217e+01,8.840740740999999403e+00,2.132505184749999927e+01,1.000000000000000000e+00
2.279625422999999884e+01,1.821672068000000309e+02,3.217166882999999871e+02,7.400000000000000000e+01,-3.148148200000000507e-02,4.108525388920000410e+01,1.000000000000000000e+00
2.466295519000000169e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.938333332999999925e+01,3.926851851999999976e+00,3.682601899920000221e+01,1.000000000000000000e+00
1.919640730000000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.616666666999999791e+01,4.134259259999999991e-01,2.937357544749999860e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.105337481999999483e+00,3.708631958000000228e+00,5.466666666999999791e+01,2.168194443999999876e+01,2.285952361080000017e+01,0.000000000000000000e+00
2.287663099999999972e+01,7.004130784000000176e+01,1.249465586999999989e+00,9.825833332999999925e+01,7.377777777999999564e+00,3.670192589330000033e+01,1.000000000000000000e+00
2.255887943999999834e+01,3.823592992999999751e+01,9.456299010000000180e+02,5.435000000000000142e+01,2.050925930000000175e-01,4.171248564829999594e+01,1.000000000000000000e+00
2.220040131000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.644166667000000359e+01,8.986574073999999968e+00,2.923655417499999842e+01,1.000000000000000000e+00
2.175740014000000144e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.703333332999999783e+01,-2.508333332999999943e+00,3.568475457920000338e+01,1.000000000000000000e+00
2.171572749999999985e+01,1.122865270999999998e+00,5.419761410000000224e-01,9.450833332999999925e+01,4.458333329999999428e-01,4.302229486170000428e+01,1.000000000000000000e+00
2.180804670999999928e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.754166666999999791e+01,1.053888889000000084e+01,2.141665369829999932e+01,0.000000000000000000e+00
2.277728003000000001e+01,5.925618243000000263e+01,1.116744705999999976e+00,8.805833332999999641e+01,4.268981482000000049e+00,3.696695134670000016e+01,1.000000000000000000e+00
4.162659220000000104e+00,1.830048424999999952e+02,4.383802754999999820e+02,6.583333333000000209e+01,6.791666670000000572e-01,2.865074927250000059e+01,1.000000000000000000e+00
2.159849007000000043e+01,6.124096845999999772e+01,1.061993630000000088e+01,7.794166667000000359e+01,1.722268517999999915e+01,2.155745231499999903e+01,0.000000000000000000e+00
3.090293386000000364e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.810000000000000142e+01,2.461574074000000056e+00,1.993380954579999909e+01,1.000000000000000000e+00
2.308774473000000071e+01,1.223044919000000021e+02,7.176595897000000335e+00,6.928333333000000493e+01,3.178703703999999686e+00,3.788469585330000200e+01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.720833333000000209e+01,8.159722222000000968e+00,2.230840833330000095e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.531666666999999649e+01,1.078611111000000022e+01,2.273624490750000149e+01,0.000000000000000000e+00
