EST,iw north average temp C,iw heating energy J,,,,
7/01/2017 21:00,21.04683442,124109634.312,,,,
7/01/2017 22:00,20.25042934,132555606.66,,,,
7/01/2017 23:00,19.77315032,144812148.408,,,,
8/01/2017 0:00,19.52608204,147644911.152,,,,
8/01/2017 1:00,19.31772898,154228810.824,,,,
8/01/2017 2:00,19.12807569,159946290.144,,,,
8/01/2017 3:00,18.94231789,165885893.928,,,,
8/01/2017 4:00,18.78690998,174961875.456,,,,
8/01/2017 5:00,18.66043365,172664079.156,,,,
8/01/2017 6:00,18.57297175,173482692.012,,,,
8/01/2017 7:00,18.47883768,186291446.868,,,,
8/01/2017 8:00,18.41052125,178341182.388,,,,
8/01/2017 9:00,18.72143736,289286287.524,,,,
8/01/2017 10:00,19.84164619,245546467.056,,,,
8/01/2017 11:00,20.85397372,239123336.148,,,,
8/01/2017 12:00,21.59869626,236087421.588,,,,
8/01/2017 13:00,22.13048135,237225837.492,,,,
8/01/2017 14:00,22.57731642,238824837.432,,,,
8/01/2017 15:00,22.78524115,197079445.368,,,,
8/01/2017 16:00,22.74297818,198470142.684,,,,
8/01/2017 17:00,22.73659955,207614781.432,,,,
8/01/2017 18:00,22.56245791,256988693.376,,,,
8/01/2017 19:00,22.58940708,231962576.796,,,,
8/01/2017 20:00,22.09975315,33879568.0788,,,,
8/01/2017 21:00,20.87487562,117040437.828,,,,
8/01/2017 22:00,20.20225495,132710851.404,,,,
8/01/2017 23:00,19.75834172,142270018.704,,,,
9/01/2017 0:00,19.47139928,151392259.188,,,,
9/01/2017 1:00,19.30699359,157309628.148,,,,
9/01/2017 2:00,19.15459024,155902458.312,,,,
9/01/2017 3:00,19.03073529,168516093.564,,,,
9/01/2017 4:00,18.95471278,161443048.284,,,,
9/01/2017 5:00,18.92712208,168779301.372,,,,
9/01/2017 6:00,18.90261033,161611637.544,,,,
9/01/2017 7:00,18.84214922,173074023.036,,,,
9/01/2017 8:00,19.16870563,287250984.9,,,,
9/01/2017 9:00,20.00113609,251183321.568,,,,
9/01/2017 10:00,20.65579018,241380725.832,,,,
9/01/2017 11:00,21.26854106,237588899.976,,,,
9/01/2017 12:00,22.05010843,232382413.296,,,,
9/01/2017 13:00,22.77721643,178720203.564,,,,
9/01/2017 14:00,23.03744323,119501831.592,,,,
9/01/2017 15:00,23.05668175,116839370.88,,,,
9/01/2017 16:00,22.84538099,157991129.388,,,,
9/01/2017 17:00,22.84962237,138477779.856,,,,
9/01/2017 18:00,22.71694111,260158077.684,,,,
9/01/2017 19:00,22.9248455,113844300.264,,,,
9/01/2017 20:00,22.81076343,216310607.46,,,,
9/01/2017 21:00,22.71108618,19234757.9952,,,,
9/01/2017 22:00,21.75740014,94628173.068,,,,
9/01/2017 23:00,21.21859744,102097678.932,,,,
10/01/2017 0:00,20.88184524,105715176.912,,,,
10/01/2017 1:00,20.64877919,114437091.888,,,,
10/01/2017 2:00,20.42912578,121453335.792,,,,
10/01/2017 3:00,20.25094468,124662545.172,,,,
10/01/2017 4:00,20.14813548,128519344.656,,,,
10/01/2017 5:00,20.15667036,128247374.988,,,,
10/01/2017 6:00,20.06976168,121856481.288,,,,
10/01/2017 7:00,19.9521312,132110743.86,,,,
10/01/2017 8:00,20.21675715,267901779.204,,,,
10/01/2017 9:00,21.22601586,241015715.604,,,,
10/01/2017 10:00,22.23723924,232120582.416,,,,
10/01/2017 11:00,23.00777465,82512060.732,,,,
10/01/2017 12:00,22.80065844,215659880.244,,,,
10/01/2017 13:00,22.94602385,78906800.988,,,,
10/01/2017 14:00,22.88611668,139307307.624,,,,
