Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep) 
 01/12  04:00:00,21.6123780548252,0.0 
 01/12  05:00:00,21.5426478510449,0.0 
 01/12  06:00:00,21.4804791649621,0.0 
 01/12  07:00:00,21.422767710137,0.0 
 01/12  08:00:00,21.3731393135715,0.0 
 01/12  09:00:00,21.3261862948727,0.0 
 01/12  10:00:00,21.2879327056795,0.0 
 01/12  11:00:00,21.2574438410484,0.0 
 01/12  12:00:00,21.2427306985209,0.0 
 01/12  13:00:00,21.2318263088752,0.0 
 01/12  14:00:00,21.2876701247381,0.0 
 01/12  15:00:00,21.3409561997811,0.0 
 01/12  16:00:00,21.3661947489926,0.0 
 01/12  17:00:00,21.3938243473641,0.0 
 01/12  18:00:00,21.3939211738226,0.0 
 01/12  19:00:00,21.3256822951402,0.0 
 01/12  20:00:00,21.1995598455225,0.0 
 01/12  21:00:00,21.0904702056461,0.0 
 01/12  22:00:00,21.0058851806244,0.0 
 01/12  23:00:00,20.8581916597314,34.696082155094 
 01/12  24:00:00,21.2339251180746,27.4229757719134 
 01/13  01:00:00,21.5296365354648,26.2775163251361 
 01/13  02:00:00,21.6429701776632,24.8437609718634 
 01/13  03:00:00,21.6705686336545,19.9866195869518 
 01/13  04:00:00,21.6147966707944,23.7903721552636 
 01/13  05:00:00,21.5662914504359,18.2580018096595 
 01/13  06:00:00,21.4635014261502,17.6902618807292 
 01/13  07:00:00,21.3660740656948,20.4406721993278 
 01/13  08:00:00,21.2572452427018,19.969539576112 
 01/13  09:00:00,21.0936061716709,29.6631846059599 
 01/13  10:00:00,21.0321665699194,47.7342756251475 
 01/13  11:00:00,21.3019293397369,49.3392497683287 
 01/13  12:00:00,22.0581510705188,42.6148973815156 
 01/13  13:00:00,22.837428949174,38.0619127472492 
 01/13  14:00:00,23.2838669951255,34.8956044334422 
 01/13  15:00:00,23.6224151705801,33.6846890203674 
 01/13  16:00:00,23.7664441747312,30.3040613360565 
 01/13  17:00:00,23.8297501817991,29.2882473924309 
 01/13  18:00:00,23.8193099240112,28.8367412905031 
 01/13  19:00:00,23.6469463020593,28.6185137874241 
 01/13  20:00:00,23.4015037081924,27.64275575826 
 01/13  21:00:00,23.1775526464138,21.9325072865159 
 01/13  22:00:00,22.9493529566293,21.0659537018408 
 01/13  23:00:00,22.7057679900283,20.4574749815986 
 01/13  24:00:00,22.4420027610582,19.9154428124565 
 01/14  01:00:00,22.1692121446908,18.9493537516581 
 01/14  02:00:00,21.898808455677,18.2056269902404 
 01/14  03:00:00,21.6253676033108,17.9778985065826 
 01/14  04:00:00,21.3386238457423,17.3668078042071 
 01/14  05:00:00,21.0519627426718,14.2559513496793 
 01/14  06:00:00,20.8183897857714,14.0336548958586 
 01/14  07:00:00,20.6412383556212,12.8230196300314 
