# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.249146483000000174e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.902500000000000568e+01,-1.024999999999999911e+00,3.271643466999999816e+01,1.000000000000000000e+00
2.275495828000000031e+01,7.197855282999999105e+00,7.846856729999999169e-01,7.278333333000000493e+01,3.277777777999999920e+00,5.247868657330000275e+01,1.000000000000000000e+00
2.286612165000000019e+01,1.985829673000000071e+02,1.707423943000000293e+02,5.454999999999999716e+01,1.136898148000000042e+01,2.160006355499999842e+01,5.833333333000000342e-01
2.160244310000000212e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.854999999999999716e+01,2.366666667000000057e+00,3.563705087999999677e+01,1.000000000000000000e+00
2.297258357999999845e+01,1.349668417000000034e+02,1.031452156000000002e+02,4.212500000000000000e+01,-4.865740739999999676e-01,4.074380643420000325e+01,1.000000000000000000e+00
2.069341284000000059e+01,9.005295282000000157e+01,1.105789090000000030e-01,9.186666667000000075e+01,5.980555556000000550e+00,3.158094168919999944e+01,1.000000000000000000e+00
2.110129080999999829e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.354166666999999791e+01,-3.185185184999999919e+00,3.799450194420000315e+01,1.000000000000000000e+00
1.937988856999999854e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.657500000000000284e+01,-4.761111110999999951e+00,2.602780517080000067e+01,1.000000000000000000e+00
2.103305972000000068e+01,9.539830809999999550e-01,4.528131210000000406e-01,8.374166667000000075e+01,-2.509259260000000213e-01,6.181199550920000263e+01,1.000000000000000000e+00
2.052675569999999894e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.245833333000000209e+01,-9.773148149999999479e-01,4.153279611170000152e+01,1.000000000000000000e+00
2.216246303999999867e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.261666667000000075e+01,1.016944443999999947e+01,3.355971294919999792e+01,1.000000000000000000e+00
