# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.120864215529740093e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.877500000000000568e+01,1.199259258999999922e+01,1.962444742579999968e+01,1.000000000000000000e+00,3.556778123817142756e+01,1.530221512322269106e+01,3.985505563028871165e+02,6.846603511264099780e+02,2.051060335058910722e-01
2.568682305955049827e+01,1.937954086999999825e+00,3.624244600000000038e-01,9.535833332999999357e+01,1.451851852000000065e+01,2.163483538330000044e+01,0.000000000000000000e+00,4.743888337196244720e+01,1.387251175097057398e+01,2.917030231757537422e+02,7.428137817131425891e+02,1.006391671317899139e-01
2.398364992760449965e+01,1.574966512999999964e+02,2.518578378999999856e+01,7.043333332999999641e+01,2.265277778000000186e+00,4.006905851670000374e+01,1.000000000000000000e+00,2.999839263846325110e+01,6.674501807831270561e+00,3.409964273688440244e+02,3.427415724396834094e+02,1.111836798285266853e-01
1.906606240150690113e+01,5.891763057999999553e+00,4.142924387000000053e+01,6.993333332999999641e+01,-8.362962962999999306e+00,4.573246023080000100e+01,1.000000000000000000e+00,2.327217178153217603e+01,1.960429074229579882e+01,2.962773541149972516e+02,2.270900127581658410e+02,2.403657126583091108e-01
2.526122649074029880e+01,2.422070757999999842e+02,4.157813248000000073e+01,5.508333333000000209e+01,9.988425925999999677e+00,2.126858586670000051e+01,0.000000000000000000e+00,4.360202554011536336e+01,1.702383801643214412e+01,3.898600531145336845e+02,4.803030525565993685e+02,2.565139746432558154e-01
2.451261872247859941e+01,1.175728089000000125e+02,1.669851574000000127e+01,7.365000000000000568e+01,4.111111110000000290e-01,4.191250291749999946e+01,1.000000000000000000e+00,2.165538702331108922e+01,2.183280830266613748e+01,3.881766286460184006e+02,7.211311871152119011e+02,1.762085231706750355e-01
2.105054737371959916e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.378333333000000493e+01,-2.303240740999999758e+00,3.080897148500000071e+01,1.000000000000000000e+00,3.975225798271046074e+01,1.439692269475441577e+01,3.841275487161891533e+02,5.695095304239602001e+02,2.673034457364753536e-01
2.015750643926410035e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.970833333000000209e+01,-7.437500000000000000e+00,4.254355675749999932e+01,1.000000000000000000e+00,2.417723679567257022e+01,1.552975661189682732e+01,1.949902922780410393e+02,8.806249105378094555e+02,2.575992799828688562e-01
2.557167307977999826e+01,2.268283859999999947e+02,1.821564219999999921e+02,7.919166667000000359e+01,1.529629626000000009e+01,2.301848007919999972e+01,0.000000000000000000e+00,3.633752968220886004e+01,1.620062206288143258e+01,3.589958414975263850e+02,7.137620334985022055e+02,2.300167573493047957e-01
2.335577846215110043e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.877499999999999858e+01,-9.725462963000000016e+00,4.150666996249999841e+01,1.000000000000000000e+00,2.027078711433579983e+01,1.030402909708569581e+01,3.214766132095019771e+02,3.007969631431872699e+02,1.161337690619140967e-01
2.081542086867710140e+01,7.204683583999999996e+01,2.092031069999999993e-01,5.732500000000000284e+01,1.359999999999999964e+01,2.295963399080000045e+01,0.000000000000000000e+00,2.544570198807283035e+01,1.822572090390781341e+01,8.917252699251065451e+01,9.331948617935639732e+02,2.819110443945399003e-01
2.501262078718799842e+01,2.053400428000000204e+02,4.155360621000000378e+02,5.931666666999999649e+01,2.043101851999999852e+01,2.367320120420000151e+01,0.000000000000000000e+00,3.351242368166406749e+01,1.269841927246035951e+01,1.585801595960371060e+02,7.530038866634106398e+02,1.593167116718154364e-01
2.272788252018139943e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.877499999999999858e+01,-9.725462963000000016e+00,4.150666996249999841e+01,1.000000000000000000e+00,4.811290504343494945e+01,1.843659225231395027e+01,7.348760888901946942e+01,9.766018033471380022e+02,2.038213533723326198e-01
2.895944335372789880e+01,1.037984397999999970e+02,8.787786962999999787e+02,2.819999999999999929e+01,1.306388888999999942e+01,2.234592081999999991e+01,1.000000000000000000e+00,4.828389129762952336e+01,1.734413590986809339e+01,3.078911293670519171e+02,2.497366136920656743e+02,1.412621392258801289e-01
2.435388674849500035e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.996666666999999507e+01,-2.254629630000000162e-01,3.598068587579999900e+01,1.000000000000000000e+00,2.972419023907196589e+01,2.298881586932390064e+01,2.862988793792550268e+02,3.469123557681342618e+02,2.848522928293394096e-02
1.875994902157669841e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.039166667000000643e+01,2.384722221999999725e+00,2.315400137500000000e+01,1.000000000000000000e+00,2.117868094003331336e+01,2.056060082063420325e+01,1.439053941371002452e+02,8.578754838320262479e+02,1.842508125757259529e-01
2.241120208686039916e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.114166667000000643e+01,-2.735185185000000185e+00,4.382129444579999955e+01,1.000000000000000000e+00,4.715694745922994713e+01,1.525448349118552827e+01,3.481454041321710520e+02,9.146538417009186333e+02,1.501112323045210861e-01
